Source,Target,Weight,source_ct,target_ct
ASIL,AWAR,2.0,sensory,sensory
ASIL,ASGL,3.0,sensory,sensory
ASIL,ASER,8.0,sensory,sensory
ASIL,ADFL,1.0,sensory,sensory
ASIL,AWCL,3.0,sensory,sensory
ASIL,AWCR,4.0,sensory,sensory
ASIL,ASKL,3.0,sensory,sensory
ASIL,CEPVR,1.0,sensory,sensory
ASIL,AIYL,3.0,sensory,interneuron
ASIL,AIYR,2.0,sensory,interneuron
ASIL,AIAL,2.0,sensory,interneuron
ASIL,AIZL,1.0,sensory,interneuron
ASIL,RIBL,1.0,sensory,interneuron
ASIL,AIBL,3.0,sensory,interneuron
ASIL,SAAVL,2.0,sensory,interneuron
ASIL,RIAL,3.0,sensory,interneuron
ASIL,RMFL,1.0,sensory,interneuron
AWAR,ASIL,2.0,sensory,sensory
AWAR,ASGR,1.0,sensory,sensory
AWAR,AWBR,3.0,sensory,sensory
AWAR,ASER,5.0,sensory,sensory
AWAR,ADFR,9.0,sensory,sensory
AWAR,AFDR,23.0,sensory,sensory
AWAR,RIR,2.0,sensory,interneuron
AWAR,AIYR,8.0,sensory,interneuron
AWAR,AIAR,3.0,sensory,interneuron
AWAR,AUAR,1.0,sensory,interneuron
AWAR,AIZR,25.0,sensory,interneuron
AWAR,RIFR,5.0,sensory,interneuron
AWAR,RIGR,6.0,sensory,interneuron
ASGL,ASKL,2.0,sensory,sensory
ASGL,AINR,2.0,sensory,interneuron
ASGL,AIAL,46.0,sensory,interneuron
ASGL,AIBL,17.0,sensory,interneuron
ASER,AWAR,1.0,sensory,sensory
ASER,ASEL,3.0,sensory,sensory
ASER,AFDL,2.0,sensory,sensory
ASER,AFDR,3.0,sensory,sensory
ASER,AWCL,1.0,sensory,sensory
ASER,AWCR,1.0,sensory,sensory
ASER,ASKL,1.0,sensory,sensory
ASER,ASHR,2.0,sensory,sensory
ASER,ADLL,4.0,sensory,sensory
ASER,ADLR,1.0,sensory,sensory
ASER,AIYL,9.0,sensory,interneuron
ASER,AIYR,38.0,sensory,interneuron
ASER,AIAL,8.0,sensory,interneuron
ASER,AIAR,4.0,sensory,interneuron
ASER,AIZL,1.0,sensory,interneuron
ASER,AIBL,4.0,sensory,interneuron
ASER,AIBR,32.0,sensory,interneuron
ADFL,AWBL,2.0,sensory,sensory
ADFL,AFDL,1.0,sensory,sensory
ADFL,AWCR,2.0,sensory,sensory
ADFL,ADLL,1.0,sensory,sensory
ADFL,URXL,1.0,sensory,sensory
ADFL,RIR,4.0,sensory,interneuron
ADFL,AIAL,2.0,sensory,interneuron
ADFL,AUAL,12.0,sensory,interneuron
ADFL,AIZL,39.0,sensory,interneuron
ADFL,ADAL,2.0,sensory,interneuron
ADFL,RIBL,4.0,sensory,interneuron
ADFL,RIGL,4.0,sensory,interneuron
ADFL,RIGR,1.0,sensory,interneuron
ADFL,AIBL,2.0,sensory,interneuron
ADFL,AIBR,1.0,sensory,interneuron
ADFL,RIAL,46.0,sensory,interneuron
ADFL,RIVL,1.0,sensory,motorneuron
ADFL,SMDVL,1.0,sensory,motorneuron
ADFL,SMBDL,1.0,sensory,motorneuron
ADFL,SMBVL,9.0,sensory,motorneuron
AWCL,ASIL,1.0,sensory,sensory
AWCL,ASGR,1.0,sensory,sensory
AWCL,ASER,1.0,sensory,sensory
AWCL,AFDL,2.0,sensory,sensory
AWCL,AWCR,11.0,sensory,sensory
AWCL,AIYL,22.0,sensory,interneuron
AWCL,AIAL,2.0,sensory,interneuron
AWCL,AIAR,4.0,sensory,interneuron
AWCL,AIZL,1.0,sensory,interneuron
AWCL,AIBL,12.0,sensory,interneuron
AWCL,AIBR,2.0,sensory,interneuron
AWCL,RIAL,6.0,sensory,interneuron
AWCL,AVAL,1.0,sensory,interneuron
AWCL,SMDVL,1.0,sensory,motorneuron
AWCR,ASIL,2.0,sensory,sensory
AWCR,ASIR,2.0,sensory,sensory
AWCR,ASGR,3.0,sensory,sensory
AWCR,ASEL,8.0,sensory,sensory
AWCR,ASER,5.0,sensory,sensory
AWCR,ADFR,1.0,sensory,sensory
AWCR,AWCL,17.0,sensory,sensory
AWCR,ASHR,1.0,sensory,sensory
AWCR,IL2L,2.0,sensory,sensory
AWCR,AIYL,12.0,sensory,interneuron
AWCR,AIYR,22.0,sensory,interneuron
AWCR,AIAL,1.0,sensory,interneuron
AWCR,AIAR,8.0,sensory,interneuron
AWCR,AIBL,3.0,sensory,interneuron
AWCR,AIBR,18.0,sensory,interneuron
AWCR,RIAL,3.0,sensory,interneuron
AWCR,RIVL,3.0,sensory,motorneuron
ASKL,ASJL,1.0,sensory,sensory
ASKL,ASER,4.0,sensory,sensory
ASKL,AIML,5.0,sensory,interneuron
ASKL,AIAL,29.0,sensory,interneuron
ASKL,AIBL,9.0,sensory,interneuron
CEPVR,ASGR,2.0,sensory,sensory
CEPVR,ADLR,3.0,sensory,sensory
CEPVR,IL2VR,3.0,sensory,sensory
CEPVR,CEPDR,1.0,sensory,sensory
CEPVR,URYVR,2.0,sensory,sensory
CEPVR,OLLR,14.0,sensory,sensory
CEPVR,OLQVR,11.0,sensory,sensory
CEPVR,IL1VR,8.0,sensory,sensory
CEPVR,RICL,13.0,sensory,interneuron
CEPVR,RICR,12.0,sensory,interneuron
CEPVR,RIAL,1.0,sensory,interneuron
CEPVR,RIAR,1.0,sensory,interneuron
CEPVR,AVEL,13.0,sensory,interneuron
CEPVR,RIPR,3.0,sensory,interneuron
CEPVR,URAVR,3.0,sensory,motorneuron
