,Source,Target,Weight,source_ct,target_ct
5,ASIL,AWAR,2.0,sensory,sensory
6,ASIL,ASGL,3.0,sensory,sensory
11,ASIL,ASER,8.0,sensory,sensory
12,ASIL,ADFL,1.0,sensory,sensory
16,ASIL,AWCL,3.0,sensory,sensory
17,ASIL,AWCR,4.0,sensory,sensory
18,ASIL,ASKL,3.0,sensory,sensory
66,ASIL,CEPVR,1.0,sensory,sensory
91,ASIL,AIYL,3.0,sensory,interneuron
92,ASIL,AIYR,2.0,sensory,interneuron
93,ASIL,AIAL,2.0,sensory,interneuron
97,ASIL,AIZL,1.0,sensory,interneuron
122,ASIL,RIBL,1.0,sensory,interneuron
128,ASIL,AIBL,3.0,sensory,interneuron
134,ASIL,SAAVL,2.0,sensory,interneuron
147,ASIL,RIAL,3.0,sensory,interneuron
153,ASIL,RMFL,1.0,sensory,interneuron
285,ASIR,AWAR,1.0,sensory,sensory
287,ASIR,ASGR,3.0,sensory,sensory
290,ASIR,ASEL,2.0,sensory,sensory
291,ASIR,ASER,2.0,sensory,sensory
296,ASIR,AWCL,2.0,sensory,sensory
297,ASIR,AWCR,5.0,sensory,sensory
301,ASIR,ASHR,2.0,sensory,sensory
303,ASIR,ADLR,1.0,sensory,sensory
346,ASIR,CEPVR,1.0,sensory,sensory
373,ASIR,AIAL,1.0,sensory,interneuron
374,ASIR,AIAR,4.0,sensory,interneuron
409,ASIR,AIBR,3.0,sensory,interneuron
578,ASJL,ASKL,12.0,sensory,sensory
579,ASJL,ASKR,1.0,sensory,sensory
623,ASJL,CEPDL,1.0,sensory,sensory
660,ASJL,ALA,3.0,sensory,interneuron
661,ASJL,PVQL,34.0,sensory,interneuron
832,ASJL,HSNL,1.0,sensory,motorneuron
833,ASJL,HSNR,1.0,sensory,motorneuron
859,ASJR,ASKR,12.0,sensory,sensory
942,ASJR,PVQR,19.0,sensory,interneuron
1113,ASJR,HSNR,1.0,sensory,motorneuron
1126,AWAL,ASGL,1.0,sensory,sensory
1128,AWAL,AWBL,9.0,sensory,sensory
1130,AWAL,ASEL,7.0,sensory,sensory
1134,AWAL,AFDL,7.0,sensory,sensory
1140,AWAL,ASHL,2.0,sensory,sensory
1211,AWAL,AIYL,3.0,sensory,interneuron
1217,AWAL,AIZL,23.0,sensory,interneuron
1223,AWAL,ADAL,2.0,sensory,interneuron
1400,AWAR,ASIL,2.0,sensory,sensory
1407,AWAR,ASGR,1.0,sensory,sensory
1409,AWAR,AWBR,3.0,sensory,sensory
1411,AWAR,ASER,5.0,sensory,sensory
1413,AWAR,ADFR,9.0,sensory,sensory
1415,AWAR,AFDR,23.0,sensory,sensory
1490,AWAR,RIR,2.0,sensory,interneuron
1492,AWAR,AIYR,8.0,sensory,interneuron
1494,AWAR,AIAR,3.0,sensory,interneuron
1496,AWAR,AUAR,1.0,sensory,interneuron
1498,AWAR,AIZR,25.0,sensory,interneuron
1506,AWAR,RIFR,5.0,sensory,interneuron
1525,AWAR,RIGR,6.0,sensory,interneuron
1698,ASGL,ASKL,2.0,sensory,sensory
1764,ASGL,AINR,2.0,sensory,interneuron
1773,ASGL,AIAL,46.0,sensory,interneuron
1808,ASGL,AIBL,17.0,sensory,interneuron
1971,ASGR,ASER,3.0,sensory,sensory
2052,ASGR,AIYR,1.0,sensory,interneuron
2054,ASGR,AIAR,51.0,sensory,interneuron
2089,ASGR,AIBR,20.0,sensory,interneuron
2244,AWBL,AWAL,2.0,sensory,sensory
2250,AWBL,ASEL,1.0,sensory,sensory
2252,AWBL,ADFL,25.0,sensory,sensory
2256,AWBL,AWCL,1.0,sensory,sensory
2260,AWBL,ASHL,2.0,sensory,sensory
2331,AWBL,AIYL,1.0,sensory,interneuron
2333,AWBL,AIAL,4.0,sensory,interneuron
2337,AWBL,AIZL,15.0,sensory,interneuron
2353,AWBL,AVHR,2.0,sensory,interneuron
2364,AWBL,RIGL,2.0,sensory,interneuron
2369,AWBL,AIBR,1.0,sensory,interneuron
2387,AWBL,RIAL,10.0,sensory,interneuron
2396,AWBL,AVBL,2.0,sensory,interneuron
2429,AWBL,SMBDL,2.0,sensory,motorneuron
2431,AWBL,SMBVL,3.0,sensory,motorneuron
2512,AWBL,HSNL,1.0,sensory,motorneuron
2527,AWBR,ASGR,1.0,sensory,sensory
2531,AWBR,ASER,1.0,sensory,sensory
2533,AWBR,ADFR,7.0,sensory,sensory
2541,AWBR,ASHR,2.0,sensory,sensory
2590,AWBR,URYVR,1.0,sensory,sensory
2596,AWBR,OLQVR,1.0,sensory,sensory
2606,AWBR,AIMR,1.0,sensory,interneuron
2610,AWBR,RIR,7.0,sensory,interneuron
2612,AWBR,AIYR,1.0,sensory,interneuron
2618,AWBR,AIZR,8.0,sensory,interneuron
2626,AWBR,RIFR,1.0,sensory,interneuron
2668,AWBR,RIAR,3.0,sensory,interneuron
2677,AWBR,AVBR,2.0,sensory,interneuron
2792,AWBR,HSNL,2.0,sensory,motorneuron
2793,AWBR,HSNR,2.0,sensory,motorneuron
2802,ASEL,ASJL,1.0,sensory,sensory
2808,ASEL,AWBL,1.0,sensory,sensory
2811,ASEL,ASER,2.0,sensory,sensory
2813,ASEL,ADFR,1.0,sensory,sensory
2815,ASEL,AFDR,3.0,sensory,sensory
2816,ASEL,AWCL,16.0,sensory,sensory
2817,ASEL,AWCR,11.0,sensory,sensory
2860,ASEL,IL2R,1.0,sensory,sensory
2872,ASEL,OLLR,1.0,sensory,sensory
2890,ASEL,RIR,1.0,sensory,interneuron
2891,ASEL,AIYL,32.0,sensory,interneuron
2892,ASEL,AIYR,21.0,sensory,interneuron
2893,ASEL,AIAL,6.0,sensory,interneuron
2897,ASEL,AIZL,1.0,sensory,interneuron
2928,ASEL,AIBL,16.0,sensory,interneuron
2929,ASEL,AIBR,13.0,sensory,interneuron
2948,ASEL,RIAR,2.0,sensory,interneuron
3085,ASER,AWAR,1.0,sensory,sensory
3090,ASER,ASEL,3.0,sensory,sensory
3094,ASER,AFDL,2.0,sensory,sensory
3095,ASER,AFDR,3.0,sensory,sensory
3096,ASER,AWCL,1.0,sensory,sensory
3097,ASER,AWCR,1.0,sensory,sensory
3098,ASER,ASKL,1.0,sensory,sensory
3101,ASER,ASHR,2.0,sensory,sensory
3102,ASER,ADLL,4.0,sensory,sensory
3103,ASER,ADLR,1.0,sensory,sensory
3171,ASER,AIYL,9.0,sensory,interneuron
3172,ASER,AIYR,38.0,sensory,interneuron
3173,ASER,AIAL,8.0,sensory,interneuron
3174,ASER,AIAR,4.0,sensory,interneuron
3177,ASER,AIZL,1.0,sensory,interneuron
3208,ASER,AIBL,4.0,sensory,interneuron
3209,ASER,AIBR,32.0,sensory,interneuron
3368,ADFL,AWBL,2.0,sensory,sensory
