Source,Target,Weight,source_ct,target_ct
ASIL,ASIR,3.0,sensory,sensory
ASIL,AINR,1.0,sensory,interneuron
ASIL,AIAL,1.0,sensory,interneuron
ASIR,ASIL,3.0,sensory,sensory
ASIR,ASGR,4.0,sensory,sensory
ASIR,AIYR,1.0,sensory,interneuron
ASIR,AIAL,2.0,sensory,interneuron
ASIR,AIAR,3.0,sensory,interneuron
ASJL,ASJR,7.0,sensory,sensory
ASJL,IL2L,1.0,sensory,sensory
ASJL,AIAL,1.0,sensory,interneuron
ASJL,ALA,2.0,sensory,interneuron
ASJL,PVQL,1.0,sensory,interneuron
ASJL,SMDDR,1.0,sensory,motorneuron
ASJR,ASJL,7.0,sensory,sensory
ASJR,AIMR,1.0,sensory,interneuron
ASJR,PVQR,5.0,sensory,interneuron
AWAL,AWAR,2.0,sensory,sensory
AWAL,ADLL,1.0,sensory,sensory
AWAL,AIAL,1.0,sensory,interneuron
AWAL,AIZL,3.0,sensory,interneuron
AWAR,AWAL,2.0,sensory,sensory
AWAR,ADFR,3.0,sensory,sensory
AWAR,AIAR,3.0,sensory,interneuron
AWAR,AIZR,3.0,sensory,interneuron
ASGL,AWBL,1.0,sensory,sensory
ASGL,ASEL,3.0,sensory,sensory
ASGL,AINR,1.0,sensory,interneuron
ASGL,AIML,1.0,sensory,interneuron
ASGL,AIZL,3.0,sensory,interneuron
ASGL,SMDDR,2.0,sensory,motorneuron
ASGR,ASIR,4.0,sensory,sensory
ASGR,ASER,3.0,sensory,sensory
ASGR,ADFR,1.0,sensory,sensory
ASGR,AWCR,2.0,sensory,sensory
ASGR,ADLR,1.0,sensory,sensory
ASGR,AINL,1.0,sensory,interneuron
ASGR,AIAR,3.0,sensory,interneuron
ASGR,AIZR,1.0,sensory,interneuron
AWBL,ASGL,1.0,sensory,sensory
AWBL,AWBR,3.0,sensory,sensory
AWBL,AIAL,1.0,sensory,interneuron
AWBL,AUAL,4.0,sensory,interneuron
AWBL,RMGL,1.0,sensory,interneuron
AWBR,AWBL,3.0,sensory,sensory
AWBR,ASER,1.0,sensory,sensory
AWBR,ADFR,1.0,sensory,sensory
AWBR,AUAR,3.0,sensory,interneuron
AWBR,RMGR,1.0,sensory,interneuron
AWBR,RICL,4.0,sensory,interneuron
ASEL,ASGL,3.0,sensory,sensory
ASEL,AFDL,6.0,sensory,sensory
ASEL,AFDR,2.0,sensory,sensory
ASEL,AWCL,1.0,sensory,sensory
ASEL,AWCR,2.0,sensory,sensory
ASER,ASGR,3.0,sensory,sensory
ASER,AWBR,1.0,sensory,sensory
ASER,AFDR,1.0,sensory,sensory
ASER,PVQR,1.0,sensory,interneuron
ADFL,AFDL,3.0,sensory,sensory
ADFL,AWCL,1.0,sensory,sensory
ADFL,ASHL,1.0,sensory,sensory
ADFL,URBL,1.0,sensory,interneuron
ADFL,AIZL,1.0,sensory,interneuron
ADFL,ADAL,5.0,sensory,interneuron
ADFL,RIAL,1.0,sensory,interneuron
ADFL,RIPL,2.0,sensory,interneuron
ADFR,AWAR,3.0,sensory,sensory
ADFR,ASGR,1.0,sensory,sensory
ADFR,AWBR,1.0,sensory,sensory
ADFR,AFDR,5.0,sensory,sensory
ADFR,RIH,1.0,sensory,interneuron
ADFR,AIAR,4.0,sensory,interneuron
ADFR,ADAR,4.0,sensory,interneuron
ADFR,SMDVR,2.0,sensory,motorneuron
ADFR,SMBVR,1.0,sensory,motorneuron
AFDL,ASEL,6.0,sensory,sensory
AFDL,ADFL,3.0,sensory,sensory
AFDL,AFDR,1.0,sensory,sensory
AFDL,URBL,9.0,sensory,interneuron
AFDL,AIYL,2.0,sensory,interneuron
AFDL,AIBL,2.0,sensory,interneuron
AFDL,AVEL,1.0,sensory,interneuron
AFDR,ASEL,2.0,sensory,sensory
AFDR,ASER,1.0,sensory,sensory
AFDR,ADFR,5.0,sensory,sensory
AFDR,AFDL,1.0,sensory,sensory
AFDR,AWCR,3.0,sensory,sensory
AFDR,ASHR,4.0,sensory,sensory
AFDR,URBR,2.0,sensory,interneuron
AFDR,AIBR,2.0,sensory,interneuron
AFDR,RMDVR,1.0,sensory,motorneuron
