Source,Target,Weight,source_ct,target_ct
ASIL,ASGL,6.0,sensory,sensory
ASIL,AFDL,5.0,sensory,sensory
ASIL,AWCL,8.0,sensory,sensory
ASIL,AIML,3.0,sensory,interneuron
ASIL,AIAL,1.0,sensory,interneuron
ASIL,AIBL,11.0,sensory,interneuron
ASGL,ASEL,1.0,sensory,sensory
ASGL,AIML,5.0,sensory,interneuron
ASGL,AIAL,70.0,sensory,interneuron
ASGL,AIZL,3.0,sensory,interneuron
ASGL,RICL,4.0,sensory,interneuron
AFDL,AIYL,59.0,sensory,interneuron
AWCL,ASEL,4.0,sensory,sensory
AWCL,ASKL,2.0,sensory,sensory
AWCL,AIYL,5.0,sensory,interneuron
AWCL,AIAL,13.0,sensory,interneuron
AWCL,AIBL,3.0,sensory,interneuron
AIML,ASGL,3.0,interneuron,sensory
AIML,ASKL,5.0,interneuron,sensory
AIML,CEPVL,1.0,interneuron,sensory
AIML,AIAL,2.0,interneuron,interneuron
AIML,AIBL,30.0,interneuron,interneuron
AIML,RICL,3.0,interneuron,interneuron
AIML,RID,3.0,interneuron,interneuron
AIAL,AWCL,25.0,interneuron,sensory
AIAL,AINR,5.0,interneuron,interneuron
AIAL,AIYL,6.0,interneuron,interneuron
AIAL,AIAL,26.0,interneuron,interneuron
AIAL,RIFL,27.0,interneuron,interneuron
AIAL,AIBL,45.0,interneuron,interneuron
AIBL,AIZR,8.0,interneuron,interneuron
AIBL,RIBR,4.0,interneuron,interneuron
AIBL,AIBL,2.0,interneuron,interneuron
AIBL,AVKR,5.0,interneuron,interneuron
AIBL,RIML,1.0,interneuron,interneuron
AIBL,RIMR,42.0,interneuron,interneuron
AIBL,AVEL,5.0,interneuron,interneuron
AIBL,RMFR,5.0,interneuron,interneuron
AIBL,AVBL,24.0,interneuron,interneuron
AIBL,SMDDR,9.0,interneuron,motorneuron
AIBL,SIBVR,6.0,interneuron,motorneuron
ASGR,AIMR,1.0,sensory,interneuron
ASGR,AIAR,57.0,sensory,interneuron
ASGR,AIBR,9.0,sensory,interneuron
AFDR,AWAR,2.0,sensory,sensory
AFDR,AIYR,30.0,sensory,interneuron
AFDR,AUAR,2.0,sensory,interneuron
AWCR,AIYR,45.0,sensory,interneuron
AWCR,AIBR,13.0,sensory,interneuron
ASKR,ASHR,2.0,sensory,sensory
ASKR,AIMR,1.0,sensory,interneuron
ASKR,AIAR,38.0,sensory,interneuron
ASKR,RIFR,1.0,sensory,interneuron
AIAR,ASGR,5.0,interneuron,sensory
AIAR,ASER,4.0,interneuron,sensory
AIAR,ASKR,2.0,interneuron,sensory
AIAR,ASHR,1.0,interneuron,sensory
AIAR,ADLR,12.0,interneuron,sensory
AIAR,AIMR,1.0,interneuron,interneuron
AIAR,AIBR,6.0,interneuron,interneuron
ASKL,ASHL,5.0,sensory,sensory
ASKL,AINR,6.0,sensory,interneuron
ASKL,AIAL,8.0,sensory,interneuron
ASKL,AIBL,3.0,sensory,interneuron
OLQDL,IL2DL,1.0,sensory,sensory
OLQDL,IL2L,11.0,sensory,sensory
OLQDL,OLQDL,8.0,sensory,sensory
OLQDL,IL1DL,1.0,sensory,sensory
OLQDL,RICR,13.0,sensory,interneuron
OLQDL,RMDDR,6.0,sensory,motorneuron
OLQDL,SMBDR,4.0,sensory,motorneuron
OLQDL,SIBVL,6.0,sensory,motorneuron
PVQL,ASKL,2.0,interneuron,sensory
PVQL,AIML,9.0,interneuron,interneuron
PVQL,AIAL,9.0,interneuron,interneuron
PVQL,AVFL,9.0,interneuron,interneuron
PVQL,AVBL,6.0,interneuron,interneuron
PVQL,CA05,1.0,interneuron,interneuron
ASJR,ASKR,1.0,sensory,sensory
ASJR,PVQR,20.0,sensory,interneuron
ASJR,RIFR,2.0,sensory,interneuron
ASJR,RMGR,3.0,sensory,interneuron
ASJR,AVBL,2.0,sensory,interneuron
PVQR,ASKR,13.0,interneuron,sensory
PVQR,ASHR,5.0,interneuron,sensory
PVQR,AIAR,17.0,interneuron,interneuron
PVQR,AVFR,6.0,interneuron,interneuron
PVQR,PDA,1.0,interneuron,motorneuron
PVQR,VD13,1.0,interneuron,motorneuron
PVQR,MCMR,4.0,interneuron,interneuron
PVQR,EF1,14.0,interneuron,interneuron
PVQR,EF2,4.0,interneuron,interneuron
PVQR,EF3,5.0,interneuron,interneuron
PVQR,CA05,1.0,interneuron,interneuron
RIFR,RIFR,1.0,interneuron,interneuron
