,Source,Target,Weight,source_ct,target_ct
6,ASIL,ASGL,6.0,sensory,sensory
14,ASIL,AFDL,5.0,sensory,sensory
16,ASIL,AWCL,8.0,sensory,sensory
83,ASIL,AIML,3.0,sensory,interneuron
91,ASIL,AIAL,1.0,sensory,interneuron
125,ASIL,AIBL,11.0,sensory,interneuron
365,ASIR,ASGR,2.0,sensory,sensory
373,ASIR,AFDR,8.0,sensory,sensory
375,ASIR,AWCR,1.0,sensory,sensory
377,ASIR,ASKR,4.0,sensory,sensory
450,ASIR,AIAR,3.0,sensory,interneuron
734,ASJL,ASKL,13.0,sensory,sensory
787,ASJL,OLQDL,2.0,sensory,sensory
815,ASJL,PVQL,26.0,sensory,interneuron
877,ASJL,URADL,2.0,sensory,motorneuron
1093,ASJR,ASKR,1.0,sensory,sensory
1174,ASJR,PVQR,20.0,sensory,interneuron
1177,ASJR,RIFR,2.0,sensory,interneuron
1198,ASJR,RMGR,3.0,sensory,interneuron
1227,ASJR,AVBL,2.0,sensory,interneuron
1432,AWAL,ASIL,2.0,sensory,sensory
1440,AWAL,AWBL,6.0,sensory,sensory
1442,AWAL,ASEL,5.0,sensory,sensory
1444,AWAL,ADFL,10.0,sensory,sensory
1446,AWAL,AFDL,16.0,sensory,sensory
1521,AWAL,AIYL,13.0,sensory,interneuron
1525,AWAL,AUAL,2.0,sensory,interneuron
1527,AWAL,AIZL,50.0,sensory,interneuron
1551,AWAL,RIBL,3.0,sensory,interneuron
1799,AWAR,AWBR,4.0,sensory,sensory
1803,AWAR,ADFR,14.0,sensory,sensory
1805,AWAR,AFDR,8.0,sensory,sensory
1813,AWAR,ADLR,3.0,sensory,sensory
1880,AWAR,AIYR,3.0,sensory,interneuron
1886,AWAR,AIZR,88.0,sensory,interneuron
2158,ASGL,ASEL,1.0,sensory,sensory
2231,ASGL,AIML,5.0,sensory,interneuron
2239,ASGL,AIAL,70.0,sensory,interneuron
2243,ASGL,AIZL,3.0,sensory,interneuron
2275,ASGL,RICL,4.0,sensory,interneuron
2590,ASGR,AIMR,1.0,sensory,interneuron
2598,ASGR,AIAR,57.0,sensory,interneuron
2632,ASGR,AIBR,9.0,sensory,interneuron
2876,AWBL,ADFL,16.0,sensory,sensory
2953,AWBL,AIYL,13.0,sensory,interneuron
2959,AWBL,AIZL,1.0,sensory,interneuron
2983,AWBL,RIBL,9.0,sensory,interneuron
3008,AWBL,RIAL,13.0,sensory,interneuron
3052,AWBL,SMBVL,3.0,sensory,motorneuron
3235,AWBR,ADFR,19.0,sensory,sensory
3318,AWBR,AIZR,13.0,sensory,interneuron
3342,AWBR,RIBR,6.0,sensory,interneuron
3367,AWBR,RIAR,26.0,sensory,interneuron
3596,ASEL,AWCL,18.0,sensory,sensory
3598,ASEL,ASKL,4.0,sensory,sensory
3669,ASEL,AIYL,11.0,sensory,interneuron
3699,ASEL,RIBL,1.0,sensory,interneuron
3705,ASEL,AIBL,5.0,sensory,interneuron
3953,ASER,AFDR,2.0,sensory,sensory
3961,ASER,ADLR,2.0,sensory,sensory
4028,ASER,AIYR,23.0,sensory,interneuron
4030,ASER,AIAR,2.0,sensory,interneuron
4034,ASER,AIZR,8.0,sensory,interneuron
4064,ASER,AIBR,13.0,sensory,interneuron
4300,ADFL,AWAL,1.0,sensory,sensory
4369,ADFL,OLQVL,2.0,sensory,sensory
4389,ADFL,AUAL,3.0,sensory,interneuron
4391,ADFL,AIZL,37.0,sensory,interneuron
4397,ADFL,ADAL,2.0,sensory,interneuron
4415,ADFL,RIBL,1.0,sensory,interneuron
4417,ADFL,RIGL,9.0,sensory,interneuron
4440,ADFL,RIAL,47.0,sensory,interneuron
4484,ADFL,SMBVL,8.0,sensory,motorneuron
4659,ADFR,AWAR,1.0,sensory,sensory
4661,ADFR,ASGR,2.0,sensory,sensory
4663,ADFR,AWBR,8.0,sensory,sensory
4669,ADFR,AFDR,2.0,sensory,sensory
4748,ADFR,AUAR,10.0,sensory,interneuron
4750,ADFR,AIZR,24.0,sensory,interneuron
4799,ADFR,RIAR,33.0,sensory,interneuron
4814,ADFR,RIPR,1.0,sensory,interneuron
4841,ADFR,SMBDR,3.0,sensory,motorneuron
4843,ADFR,SMBVR,1.0,sensory,motorneuron
5101,AFDL,AIYL,59.0,sensory,interneuron
5375,AFDR,AWAR,2.0,sensory,sensory
5460,AFDR,AIYR,30.0,sensory,interneuron
5464,AFDR,AUAR,2.0,sensory,interneuron
5738,AWCL,ASEL,4.0,sensory,sensory
5746,AWCL,ASKL,2.0,sensory,sensory
5817,AWCL,AIYL,5.0,sensory,interneuron
5819,AWCL,AIAL,13.0,sensory,interneuron
5853,AWCL,AIBL,3.0,sensory,interneuron
6176,AWCR,AIYR,45.0,sensory,interneuron
6212,AWCR,AIBR,13.0,sensory,interneuron
6464,ASKL,ASHL,5.0,sensory,sensory
6526,ASKL,AINR,6.0,sensory,interneuron
6535,ASKL,AIAL,8.0,sensory,interneuron
6569,ASKL,AIBL,3.0,sensory,interneuron
6823,ASKR,ASHR,2.0,sensory,sensory
6886,ASKR,AIMR,1.0,sensory,interneuron
6894,ASKR,AIAR,38.0,sensory,interneuron
6905,ASKR,RIFR,1.0,sensory,interneuron
7172,ASHL,ADFL,12.0,sensory,sensory
7178,ASHL,ASKL,1.0,sensory,sensory
7182,ASHL,ADLL,3.0,sensory,sensory
7251,ASHL,AIAL,23.0,sensory,interneuron
7259,ASHL,PVQL,5.0,sensory,interneuron
7262,ASHL,RIFL,1.0,sensory,interneuron
7267,ASHL,AVFL,5.0,sensory,interneuron
7285,ASHL,AIBL,20.0,sensory,interneuron
7300,ASHL,AVDR,14.0,sensory,interneuron
7304,ASHL,RIAL,8.0,sensory,interneuron
7313,ASHL,AVBL,4.0,sensory,interneuron
7348,ASHL,SMBVL,4.0,sensory,motorneuron
7537,ASHR,ASKR,2.0,sensory,sensory
7610,ASHR,AIAR,48.0,sensory,interneuron
7644,ASHR,AIBR,2.0,sensory,interneuron
7657,ASHR,AVDL,24.0,sensory,interneuron
7672,ASHR,AVBR,1.0,sensory,interneuron
7882,ADLL,ASGL,9.0,sensory,sensory
7894,ADLL,ASKL,1.0,sensory,sensory
7896,ADLL,ASHL,4.0,sensory,sensory
7938,ADLL,CEPDL,1.0,sensory,sensory
7975,ADLL,PVQL,1.0,sensory,interneuron
7983,ADLL,AVFL,1.0,sensory,interneuron
7985,ADLL,AVHL,1.0,sensory,interneuron
7987,ADLL,PVPL,1.0,sensory,interneuron
8001,ADLL,AIBL,16.0,sensory,interneuron
8012,ADLL,AVJL,10.0,sensory,interneuron
8016,ADLL,AVDR,13.0,sensory,interneuron
8064,ADLL,SMBVL,1.0,sensory,motorneuron
8241,ADLR,ASGR,1.0,sensory,sensory
8245,ADLR,ASER,4.0,sensory,sensory
8255,ADLR,ASHR,11.0,sensory,sensory
8326,ADLR,AIAR,24.0,sensory,interneuron
8342,ADLR,AVFR,2.0,sensory,interneuron
8360,ADLR,AIBR,53.0,sensory,interneuron
8373,ADLR,AVDL,40.0,sensory,interneuron
8423,ADLR,SMBVR,9.0,sensory,motorneuron
8603,BAGL,ASER,1.0,sensory,sensory
8607,BAGL,AFDR,1.0,sensory,sensory
8682,BAGL,AIYR,1.0,sensory,interneuron
8712,BAGL,RIBR,20.0,sensory,interneuron
8714,BAGL,RIGR,15.0,sensory,interneuron
8718,BAGL,AIBR,1.0,sensory,interneuron
8737,BAGL,RIAR,39.0,sensory,interneuron
8743,BAGL,RMFR,5.0,sensory,interneuron
9073,URXL,RMGL,1.0,sensory,interneuron
9367,URXR,IL2R,1.0,sensory,sensory
9386,URXR,IL1R,2.0,sensory,sensory
9402,URXR,AUAR,6.0,sensory,interneuron
9430,URXR,RIGR,17.0,sensory,interneuron
9432,URXR,RMGR,1.0,sensory,interneuron
9435,URXR,RICL,1.0,sensory,interneuron
9453,URXR,RIAR,8.0,sensory,interneuron
9457,URXR,AVER,19.0,sensory,interneuron
9464,URXR,AVAR,1.0,sensory,interneuron
9789,ALNL,RMGL,6.0,sensory,interneuron
9797,ALNL,SAAVL,12.0,sensory,interneuron
9798,ALNL,SAAVR,24.0,sensory,interneuron
9813,ALNL,RIMR,4.0,sensory,interneuron
9822,ALNL,AVAR,2.0,sensory,interneuron
9849,ALNL,SMDDR,6.0,sensory,motorneuron
9853,ALNL,SMBDR,4.0,sensory,motorneuron
9861,ALNL,SIADR,3.0,sensory,motorneuron
10148,ALNR,RMGR,2.0,sensory,interneuron
10156,ALNR,SAAVR,8.0,sensory,interneuron
10206,ALNR,SMDDL,3.0,sensory,motorneuron
10209,ALNR,SMDVR,6.0,sensory,motorneuron
10210,ALNR,SMBDL,1.0,sensory,motorneuron
10221,ALNR,SIAVR,1.0,sensory,motorneuron
10505,PLNL,RMGL,5.0,sensory,interneuron
10511,PLNL,SAADL,40.0,sensory,interneuron
10513,PLNL,SAAVL,1.0,sensory,interneuron
10556,PLNL,RMDVR,1.0,sensory,motorneuron
10567,PLNL,SMDVR,3.0,sensory,motorneuron
10570,PLNL,SMBVL,25.0,sensory,motorneuron
10578,PLNL,SIAVL,1.0,sensory,motorneuron
10579,PLNL,SIAVR,10.0,sensory,motorneuron
10864,PLNR,RMGR,5.0,sensory,interneuron
10870,PLNR,SAADR,22.0,sensory,interneuron
10923,PLNR,SMDDR,1.0,sensory,motorneuron
10929,PLNR,SMBVR,10.0,sensory,motorneuron
11228,SDQL,SAADR,2.0,sensory,interneuron
11285,SDQL,SMBDR,11.0,sensory,motorneuron
11293,SDQL,SIADR,2.0,sensory,motorneuron
11487,SDQR,SDQL,4.0,sensory,sensory
11488,SDQR,SDQR,10.0,sensory,sensory
11492,SDQR,ALMR,13.0,sensory,sensory
11497,SDQR,FLPL,14.0,sensory,sensory
11498,SDQR,FLPR,2.0,sensory,sensory
11499,SDQR,DVA,25.0,sensory,sensory
11562,SDQR,PVR,17.0,sensory,interneuron
11609,SDQR,AVBL,36.0,sensory,interneuron
11610,SDQR,AVBR,20.0,sensory,interneuron
11613,SDQR,PVCL,2.0,sensory,interneuron
11632,SDQR,RIVR,10.0,sensory,motorneuron
11650,SDQR,SIADL,2.0,sensory,motorneuron
11838,AQR,BAGL,3.0,sensory,sensory
11850,AQR,ALMR,2.0,sensory,sensory
11857,AQR,DVA,1.0,sensory,sensory
11860,AQR,ADEL,4.0,sensory,sensory
11953,AQR,AVDL,2.0,sensory,interneuron
11954,AQR,AVDR,3.0,sensory,interneuron
11958,AQR,RIAL,5.0,sensory,interneuron
11959,AQR,RIAR,6.0,sensory,interneuron
11967,AQR,AVBL,5.0,sensory,interneuron
11968,AQR,AVBR,9.0,sensory,interneuron
11970,AQR,AVAR,3.0,sensory,interneuron
11971,AQR,PVCL,5.0,sensory,interneuron
11972,AQR,PVCR,5.0,sensory,interneuron
12592,ALML,CEPDL,17.0,sensory,sensory
12594,ALML,CEPVL,13.0,sensory,sensory
12634,ALML,BDUL,14.0,sensory,interneuron
12684,ALML,AVBR,1.0,sensory,interneuron
12687,ALML,PVCL,23.0,sensory,interneuron
12951,ALMR,CEPDR,19.0,sensory,sensory
12953,ALMR,CEPVR,4.0,sensory,sensory
12993,ALMR,BDUR,14.0,sensory,interneuron
13027,ALMR,AVDL,9.0,sensory,interneuron
13041,ALMR,AVBL,8.0,sensory,interneuron
13046,ALMR,PVCR,8.0,sensory,interneuron
13349,AVM,RIFR,1.0,sensory,interneuron
13351,AVM,BDUR,2.0,sensory,interneuron
13366,AVM,RIBR,5.0,sensory,interneuron
13382,AVM,AVJL,6.0,sensory,interneuron
13386,AVM,AVDR,2.0,sensory,interneuron
13393,AVM,RIMR,3.0,sensory,interneuron
13399,AVM,AVBL,3.0,sensory,interneuron
13400,AVM,AVBR,25.0,sensory,interneuron
13403,AVM,PVCL,2.0,sensory,interneuron
13404,AVM,PVCR,8.0,sensory,interneuron
13434,AVM,SMBVL,3.0,sensory,motorneuron
14711,FLPL,AQR,1.0,sensory,sensory
14720,FLPL,FLPR,5.0,sensory,sensory
14775,FLPL,RIS,6.0,sensory,interneuron
14784,FLPL,PVR,2.0,sensory,interneuron
14800,FLPL,RIGR,3.0,sensory,interneuron
14803,FLPL,AIBL,24.0,sensory,interneuron
14813,FLPL,DVC,6.0,sensory,interneuron
14817,FLPL,AVDL,11.0,sensory,interneuron
14826,FLPL,AVEL,17.0,sensory,interneuron
14831,FLPL,AVBL,16.0,sensory,interneuron
14833,FLPL,AVAL,32.0,sensory,interneuron
14834,FLPL,AVAR,6.0,sensory,interneuron
14835,FLPL,PVCL,6.0,sensory,interneuron
14861,FLPL,SMDDR,3.0,sensory,motorneuron
15077,FLPR,FLPL,2.0,sensory,sensory
15078,FLPR,FLPR,3.0,sensory,sensory
15161,FLPR,AIBL,3.0,sensory,interneuron
15162,FLPR,AIBR,4.0,sensory,interneuron
15182,FLPR,RIML,4.0,sensory,interneuron
15191,FLPR,AVAL,14.0,sensory,interneuron
15192,FLPR,AVAR,14.0,sensory,interneuron
15212,FLPR,RIVR,3.0,sensory,motorneuron
15427,DVA,AQR,5.0,sensory,sensory
15437,DVA,DVA,2.0,sensory,sensory
15440,DVA,ADEL,1.0,sensory,sensory
15482,DVA,RIR,33.0,sensory,interneuron
15488,DVA,AUAR,2.0,sensory,interneuron
15490,DVA,AIZR,6.0,sensory,interneuron
15503,DVA,AVHL,2.0,sensory,interneuron
