Source,Target,Weight,source_ct,target_ct
ASIL,ASIR,4.0,sensory,sensory
ASIL,ASGL,6.0,sensory,sensory
ASIL,AFDL,5.0,sensory,sensory
ASIL,AWCL,8.0,sensory,sensory
ASIL,AIML,3.0,sensory,interneuron
ASIL,AIAL,1.0,sensory,interneuron
ASIL,AIBL,11.0,sensory,interneuron
ASIR,ASIL,4.0,sensory,sensory
ASIR,ASGR,2.0,sensory,sensory
ASIR,AFDR,8.0,sensory,sensory
ASIR,AWCR,1.0,sensory,sensory
ASIR,ASKR,5.0,sensory,sensory
ASIR,OLLR,2.0,sensory,sensory
ASIR,AIMR,1.0,sensory,interneuron
ASIR,AIAR,5.0,sensory,interneuron
ASGL,ASEL,1.0,sensory,sensory
ASGL,AINR,1.0,sensory,interneuron
ASGL,AIML,11.0,sensory,interneuron
ASGL,AIAL,70.0,sensory,interneuron
ASGL,AIZL,3.0,sensory,interneuron
ASGL,RICL,4.0,sensory,interneuron
AFDL,AFDR,5.0,sensory,sensory
AFDL,AIYL,59.0,sensory,interneuron
AWCL,ASEL,4.0,sensory,sensory
AWCL,ASKL,2.0,sensory,sensory
AWCL,AIYL,5.0,sensory,interneuron
AWCL,AIAL,13.0,sensory,interneuron
AWCL,AIBL,3.0,sensory,interneuron
AIML,ASGL,9.0,interneuron,sensory
AIML,ASKL,9.0,interneuron,sensory
AIML,CEPVL,1.0,interneuron,sensory
AIML,AIAL,2.0,interneuron,interneuron
AIML,AIBL,30.0,interneuron,interneuron
AIML,RICL,3.0,interneuron,interneuron
AIML,RID,3.0,interneuron,interneuron
AIAL,AWAL,12.0,interneuron,sensory
AIAL,ADFL,4.0,interneuron,sensory
AIAL,AWCL,25.0,interneuron,sensory
AIAL,AINR,5.0,interneuron,interneuron
AIAL,AIYL,6.0,interneuron,interneuron
AIAL,AIAL,26.0,interneuron,interneuron
AIAL,AIAR,9.0,interneuron,interneuron
AIAL,RIFL,27.0,interneuron,interneuron
AIAL,AIBL,45.0,interneuron,interneuron
AIBL,AIZR,8.0,interneuron,interneuron
AIBL,RIBR,4.0,interneuron,interneuron
AIBL,RIGR,2.0,interneuron,interneuron
AIBL,AIBL,2.0,interneuron,interneuron
AIBL,AVKR,5.0,interneuron,interneuron
AIBL,PVT,3.0,interneuron,interneuron
AIBL,RIML,1.0,interneuron,interneuron
AIBL,RIMR,42.0,interneuron,interneuron
