Source,Target,Weight,source_ct,target_ct
ASIL,ASIR,4.0,sensory,sensory
ASIR,ASIL,4.0,sensory,sensory
ASIR,ASKR,1.0,sensory,sensory
ASIR,OLLR,2.0,sensory,sensory
ASIR,AIMR,1.0,sensory,interneuron
ASIR,AIAR,2.0,sensory,interneuron
ASJL,ASEL,1.0,sensory,sensory
ASJL,EF2,8.0,sensory,interneuron
ASJR,AIMR,2.0,sensory,interneuron
AWAL,AIAL,12.0,sensory,interneuron
AWAL,AIZL,1.0,sensory,interneuron
AWAR,AIAR,5.0,sensory,interneuron
ASGL,AINR,1.0,sensory,interneuron
ASGL,AIML,6.0,sensory,interneuron
AWBL,RMGL,1.0,sensory,interneuron
AWBR,AUAR,3.0,sensory,interneuron
ASEL,ASJL,1.0,sensory,sensory
ADFL,AIAL,4.0,sensory,interneuron
ADFL,ADAL,2.0,sensory,interneuron
ADFR,AFDR,3.0,sensory,sensory
ADFR,RIH,3.0,sensory,interneuron
ADFR,RIPR,1.0,sensory,interneuron
AFDL,AFDR,5.0,sensory,sensory
AFDR,ADFR,3.0,sensory,sensory
AFDR,AFDL,5.0,sensory,sensory
AFDR,IL2R,1.0,sensory,sensory
ASKL,ASKR,4.0,sensory,sensory
ASKL,AIML,4.0,sensory,interneuron
ASKL,PVQL,2.0,sensory,interneuron
ASKL,AVFL,2.0,sensory,interneuron
ASKL,RMGL,3.0,sensory,interneuron
ASKR,ASIR,1.0,sensory,sensory
ASKR,ASKL,4.0,sensory,sensory
ASKR,AIMR,1.0,sensory,interneuron
ASKR,PVQR,4.0,sensory,interneuron
ASKR,EF3,3.0,sensory,interneuron
ASHL,RICL,9.0,sensory,interneuron
ADLL,ADLR,14.0,sensory,sensory
ADLR,ADLL,14.0,sensory,sensory
ADLR,RMGR,2.0,sensory,interneuron
BAGL,RIR,15.0,sensory,interneuron
URXL,CEPDL,2.0,sensory,sensory
URXL,ALA,1.0,sensory,interneuron
URXL,RMGL,1.0,sensory,interneuron
URXL,CEMDL,1.0,sensory,sensory
URXR,IL2DR,3.0,sensory,sensory
URXR,CEPDR,1.0,sensory,sensory
URXR,RMGR,4.0,sensory,interneuron
URXR,RMFR,1.0,sensory,interneuron
URXR,CEMDR,3.0,sensory,sensory
PLNR,PVNR,2.0,sensory,interneuron
SDQR,FLPL,4.0,sensory,sensory
SDQR,RIVL,10.0,sensory,motorneuron
SDQR,RIVR,19.0,sensory,motorneuron
AQR,PVPL,3.0,sensory,interneuron
AQR,PVPR,6.0,sensory,interneuron
AQR,AVKL,2.0,sensory,interneuron
PQR,PHAL,1.0,sensory,sensory
PQR,AVFR,1.0,sensory,interneuron
PQR,PVPL,5.0,sensory,interneuron
PQR,PVPR,10.0,sensory,interneuron
PQR,PVNL,6.0,sensory,interneuron
PQR,AVG,17.0,sensory,interneuron
PQR,PVT,5.0,sensory,interneuron
PQR,AVDL,1.0,sensory,interneuron
PQR,AVDR,2.0,sensory,interneuron
PQR,PVWL,2.0,sensory,interneuron
PQR,PVWR,2.0,sensory,interneuron
PQR,AVBR,1.0,sensory,interneuron
PQR,AVAL,2.0,sensory,interneuron
PQR,AVAR,17.0,sensory,interneuron
PQR,DA04,5.0,sensory,motorneuron
PQR,VB09,1.0,sensory,motorneuron
PQR,VB10,1.0,sensory,motorneuron
PQR,R8BL,1.0,sensory,sensory
PQR,SPVL,1.0,sensory,sensory
PQR,SPVR,1.0,sensory,sensory
PQR,PVX,59.0,sensory,interneuron
ALML,AVM,29.0,sensory,sensory
ALML,PVR,4.0,sensory,interneuron
ALMR,AVM,31.0,sensory,sensory
