Source,Target,Weight,source_ct,target_ct
ADFL,ASER,2,Sensory neuron,Sensory neuron
ADFL,AUAL,4,Sensory neuron,Sensory neuron
ADFL,AWBL,2,Sensory neuron,Sensory neuron
ADFL,OLQVL,1,Sensory neuron,Sensory neuron
ADFL,URXL,1,Sensory neuron,Sensory neuron
ADFL,URYVL,1,Sensory neuron,Sensory neuron
ADFL,ADAL,1,Sensory neuron,Interneuron
ADFL,AIBL,1,Sensory neuron,Interneuron
ADFL,AIZL,6,Sensory neuron,Interneuron
ADFL,AIZR,2,Sensory neuron,Interneuron
ADFL,RIAL,15,Sensory neuron,Interneuron
ADFL,RIGL,4,Sensory neuron,Interneuron
ADFL,RIGR,1,Sensory neuron,Interneuron
ADFL,RIR,3,Sensory neuron,Interneuron
ADFL,SMBDL,1,Sensory neuron,Motor neuron
ADFL,SMBVL,5,Sensory neuron,Motor neuron
ADFL,AVHR,1,Sensory neuron,Modulatory neuron
ADFL,PVQL,1,Sensory neuron,Modulatory neuron
ADFL,RICR,1,Sensory neuron,Modulatory neuron
ASER,AFDL,4,Sensory neuron,Sensory neuron
ASER,AFDR,2,Sensory neuron,Sensory neuron
ASER,ASEL,1,Sensory neuron,Sensory neuron
ASER,ASER,1,Sensory neuron,Sensory neuron
ASER,ASIR,1,Sensory neuron,Sensory neuron
ASER,AWAR,2,Sensory neuron,Sensory neuron
ASER,AWCL,2,Sensory neuron,Sensory neuron
ASER,AWCR,1,Sensory neuron,Sensory neuron
ASER,BAGR,1,Sensory neuron,Sensory neuron
ASER,AIAR,1,Sensory neuron,Interneuron
ASER,AIBL,5,Sensory neuron,Interneuron
ASER,AIBR,12,Sensory neuron,Interneuron
ASER,AIYL,13,Sensory neuron,Interneuron
ASER,AIYR,16,Sensory neuron,Interneuron
ASER,AIZR,1,Sensory neuron,Interneuron
ASER,RIAL,3,Sensory neuron,Interneuron
ASER,HSNR,1,Sensory neuron,Modulatory neuron
ASER,PVQR,1,Sensory neuron,Modulatory neuron
AUAL,SAAVL,1,Sensory neuron,Sensory neuron
AUAL,URXL,3,Sensory neuron,Sensory neuron
AUAL,RIAL,17,Sensory neuron,Interneuron
AUAL,RIBL,22,Sensory neuron,Interneuron
AWBL,ADFL,12,Sensory neuron,Sensory neuron
AWBL,ADFR,1,Sensory neuron,Sensory neuron
AWBL,ASEL,1,Sensory neuron,Sensory neuron
AWBL,AIAL,1,Sensory neuron,Interneuron
AWBL,AIYL,1,Sensory neuron,Interneuron
AWBL,AIZL,7,Sensory neuron,Interneuron
AWBL,RIAL,1,Sensory neuron,Interneuron
AWBL,SMBDL,1,Sensory neuron,Motor neuron
OLQVL,IL2L,2,Sensory neuron,Sensory neuron
OLQVL,IL1VL,1,Sensory neuron,Motor neuron
OLQVL,RMDVR,6,Sensory neuron,Motor neuron
OLQVL,RMED,1,Sensory neuron,Motor neuron
OLQVL,RICL,1,Sensory neuron,Modulatory neuron
URXL,AUAL,16,Sensory neuron,Sensory neuron
URXL,DVA,1,Sensory neuron,Modulatory neuron
URXL,IL2L,1,Sensory neuron,Sensory neuron
URXL,URBL,1,Sensory neuron,Sensory neuron
URXL,ADAL,3,Sensory neuron,Interneuron
URXL,PVPL,2,Sensory neuron,Interneuron
URXL,RIAL,20,Sensory neuron,Interneuron
URXL,RIGL,5,Sensory neuron,Interneuron
URXL,RIR,3,Sensory neuron,Interneuron
URXL,AVHR,2,Sensory neuron,Modulatory neuron
URXL,CEPVL,1,Sensory neuron,Modulatory neuron
URXL,RICL,3,Sensory neuron,Modulatory neuron
URXL,RICR,3,Sensory neuron,Modulatory neuron
URXL,RMGL,1,Sensory neuron,Modulatory neuron
URYVL,OLLL,1,Sensory neuron,Sensory neuron
URYVL,RIBL,5,Sensory neuron,Interneuron
URYVL,IL1VL,1,Sensory neuron,Motor neuron
URYVL,RMDDL,7,Sensory neuron,Motor neuron
URYVL,RMDR,1,Sensory neuron,Motor neuron
URYVL,RMDVR,7,Sensory neuron,Motor neuron
URYVL,SMDVR,4,Sensory neuron,Motor neuron
ADAL,DVA,2,Interneuron,Modulatory neuron
ADAL,URXL,1,Interneuron,Sensory neuron
ADAL,AIAL,2,Interneuron,Interneuron
ADAL,AIBL,2,Interneuron,Interneuron
ADAL,AIBR,1,Interneuron,Interneuron
ADAL,AVJR,2,Interneuron,Modulatory neuron
ADAL,RIML,7,Interneuron,Interneuron
ADAL,RICR,2,Interneuron,Modulatory neuron
AIBL,AUAR,1,Interneuron,Sensory neuron
AIBL,SAADL,3,Interneuron,Sensory neuron
AIBL,SAADR,1,Interneuron,Sensory neuron
AIBL,ADAR,1,Interneuron,Interneuron
AIBL,RIBL,1,Interneuron,Interneuron
AIBL,RIBR,6,Interneuron,Interneuron
AIBL,RIGR,1,Interneuron,Interneuron
AIBL,RIML,1,Interneuron,Interneuron
AIBL,RIMR,26,Interneuron,Interneuron
AIBL,SMDDR,4,Interneuron,Motor neuron
AIBL,SMDVR,9,Interneuron,Motor neuron
AIZL,ADFL,1,Interneuron,Sensory neuron
AIZL,ASEL,2,Interneuron,Sensory neuron
AIZL,AWAL,2,Interneuron,Sensory neuron
AIZL,AWBL,1,Interneuron,Sensory neuron
AIZL,BAGR,1,Interneuron,Sensory neuron
AIZL,URYDL,1,Interneuron,Sensory neuron
AIZL,AIAL,5,Interneuron,Interneuron
AIZL,AIBL,3,Interneuron,Interneuron
AIZL,AIBR,23,Interneuron,Interneuron
