Neuron,Community
ASIL,1
ASIR,1
ASJL,1
ASJR,1
AWAL,1
AWAR,1
ASGL,1
ASGR,1
AWBL,1
AWBR,1
ASEL,1
ASER,1
ADFL,1
ADFR,1
AFDL,1
AFDR,1
AWCL,1
AWCR,1
ASKL,1
ASKR,1
ASHL,1
ASHR,1
ADLL,1
ADLR,1
BAGL,2
BAGR,2
URXL,2
URXR,4
ALNL,5
ALNR,5
PLNL,5
PLNR,1
SDQL,5
SDQR,3
AQR,3
PQR,3
ALML,3
ALMR,3
AVM,3
PVM,2
PLML,2
PLMR,2
FLPL,3
FLPR,3
DVA,2
PVDL,3
PVDR,3
ADEL,2
ADER,2
PDEL,2
PDER,2
PHAL,3
PHAR,3
PHBL,3
PHBR,3
PHCL,6
PHCR,6
IL2DL,4
IL2DR,4
IL2L,4
IL2R,4
IL2VL,4
IL2VR,4
CEPDL,4
CEPDR,4
CEPVL,4
CEPVR,4
URYDL,5
URYDR,5
URYVL,5
URYVR,5
OLLL,2
OLLR,2
OLQDL,4
OLQDR,4
OLQVL,4
OLQVR,4
IL1DL,4
IL1DR,4
IL1L,5
IL1R,5
IL1VL,4
IL1VR,4
AINL,1
AINR,1
AIML,1
AIMR,1
RIH,4
URBL,2
URBR,4
RIR,1
AIYL,1
AIYR,1
AIAL,1
AIAR,1
AUAL,2
AUAR,2
AIZL,1
AIZR,1
RIS,2
ALA,3
PVQL,1
PVQR,1
ADAL,3
ADAR,3
RIFL,3
RIFR,1
BDUL,3
BDUR,3
PVR,4
AVFL,1
AVFR,1
AVHL,1
AVHR,1
PVPL,3
PVPR,3
LUAL,3
LUAR,3
PVNL,3
PVNR,3
AVG,3
DVB,6
RIBL,2
RIBR,2
RIGL,2
RIGR,2
RMGL,5
RMGR,5
AIBL,1
AIBR,1
RICL,4
RICR,4
SAADL,1
SAADR,1
SAAVL,1
SAAVR,3
AVKL,2
AVKR,2
DVC,2
AVJL,3
AVJR,3
PVT,2
AVDL,3
AVDR,3
AVL,2
PVWL,3
PVWR,3
RIAL,5
RIAR,5
RIML,1
RIMR,1
AVEL,2
AVER,2
RMFL,2
RMFR,2
RID,3
AVBL,3
AVBR,3
AVAL,3
AVAR,3
PVCL,3
PVCR,3
RIPL,4
RIPR,4
URADL,4
URADR,4
URAVL,4
URAVR,4
RMEL,4
RMER,4
RMED,5
RMEV,4
RMDDL,5
RMDDR,5
RMDL,5
RMDR,5
RMDVL,5
RMDVR,5
RIVL,5
RIVR,5
RMHL,4
RMHR,4
SABD,2
SABVL,2
SABVR,2
SMDDL,5
SMDDR,5
SMDVL,5
SMDVR,5
SMBDL,5
SMBDR,5
SMBVL,1
SMBVR,1
SIBDL,5
SIBDR,5
SIBVL,5
SIBVR,5
SIADL,5
SIADR,5
SIAVL,5
SIAVR,5
DA01,7
DA02,7
DA03,7
DA04,7
DA05,7
DA06,7
DA07,6
DA08,6
DA09,6
PDA,6
DB01,7
DB02,7
DB03,7
DB04,7
DB05,7
DB06,6
DB07,6
AS01,7
AS02,7
AS03,7
AS04,7
AS05,7
AS06,7
AS07,7
AS08,6
AS09,6
AS10,6
AS11,6
PDB,6
DD01,7
DD02,7
DD03,7
DD04,7
DD05,6
DD06,6
VA01,7
VA02,7
VA03,7
VA04,7
VA05,7
VA06,7
VA07,7
VA08,7
VA09,6
VA10,6
VA11,6
VA12,6
VB01,1
VB02,7
VB03,7
VB04,7
VB05,7
VB06,7
VB07,6
VB08,6
VB09,6
VB10,6
VB11,6
VD01,7
VD02,7
VD03,7
VD04,7
VD05,7
VD06,7
VD07,7
VD08,6
VD09,6
VD10,6
VD11,6
VD12,6
VD13,6
HSNL,1
HSNR,1
VC01,7
VC02,7
VC03,7
VC04,1
VC05,1
VC06,6
