neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ASIL,sensory,GS,-0.68706752994623,0.252028123309897,2
ASIR,sensory,GS,-0.972384454798782,0.0713305898491083,2
ASJL,sensory,GS,-0.587826860432299,0.141687433250267,2
ASJR,sensory,GS,-0.873143785284851,0,1
AWAL,sensory,GS,-0.476181107229126,0.0713305898491083,2
AWAR,sensory,GS,-0.0171930107271942,0.139206844721933,2
ASGL,sensory,GS,-0.314915019268988,0,1
ASGR,sensory,GS,-0.116433680241125,0,1
AWBL,sensory,GS,-0.277699768201264,0.357925493060628,2
AWBR,sensory,GS,-0.724282781013954,0.30625,2
ASEL,sensory,GS,0.665086592181083,0.0606934679406286,2
ASER,sensory,GS,1.04964418654757,0,1
ADFL,sensory,GS,-0.116433680241125,0.629217128027682,3
ADFR,sensory,GS,0.082047658786737,0.697578668757965,3
AFDL,sensory,GS,-0.575421776743057,0,1
AFDR,sensory,GS,-0.352130270336712,0,1
AWCL,sensory,GS,0.082047658786737,0.213410559144576,2
AWCR,sensory,GS,0.702301843248807,0.135703270838406,2
ASKL,sensory,GS,-0.128838763930367,0,1
ASKR,sensory,GS,-0.364535354025953,0.104462809917355,2
ASHL,sensory,GS,-0.265294684512022,0.594034505306574,2
ASHR,sensory,GS,-0.0544082617949184,0.591846855782583,2
ADLL,sensory,GS,-0.215674349755057,0.539810080350621,2
ADLR,sensory,GS,0.0324273240297714,0.629510926118626,3
BAGL,sensory,GS,-0.479741026345349,0.642011834319527,3
BAGR,sensory,GS,-0.479741026345349,0.580622222222222,2
URXL,sensory,GS,-0.0917151962130814,0.756619262342467,3
URXR,sensory,GS,-0.996960125182831,0.767088165025348,3
ALNL,sensory,GS,-0.8320956007276,0.526077097505669,2
ALNR,sensory,GS,-0.793320364925432,0.6496,3
PLNL,sensory,GS,-0.739035034802397,0.48,2
PLNR,sensory,GS,-1.03440987324499,0.482421875,2
SDQL,interneuron,GS,-0.708014846160663,0.727222222222222,3
SDQR,interneuron,GS,-0.693277975478001,0.664167627835448,3
AQR,sensory,GS,-0.611902662009355,0.590986394557823,2
PQR,sensory,GS,-0.172475969278667,0.111687812379854,2
ALML,sensory,GS,-0.70955303817173,0.563020214030916,2
ALMR,sensory,GS,-0.880441196455887,0.404296875,2
AVM,sensory,GS,-0.538664879887574,0.412752083081753,2
PVM,sensory,GS,-0.557346192371802,0.285714285714286,2
PLML,sensory,GS,-0.790161690451163,0.470703125,2
PLMR,sensory,GS,-0.712556524424709,0.426903114186851,2
FLPL,sensory,GS,0.633139634060928,0.316557910504296,2
FLPR,sensory,GS,-0.0260004050351039,0.36878892733564,2
DVA,interneuron,GS,0.658468075375969,0.776237782406666,3
PVDL,sensory,GS,0.478526538470501,0.111574041381258,2
PVDR,sensory,GS,0.445976413083043,0.298472222222222,2
ADEL,sensory,GS,-0.324530694292442,0.729095041081522,3
ADER,sensory,GS,-0.893635245153101,0.713356401384083,3
