Neuron,Community
ADAL,3
ADAR,3
ADEL,3
ADER,3
ADFL,1
ADFR,2
ADLL,3
ADLR,1
AFDL,1
AFDR,2
AIAL,6
AIAR,1
AIBL,2
AIBR,1
AIML,6
AIMR,1
AINL,2
AINR,4
AIYL,1
AIYR,2
AIZL,1
AIZR,2
ALA,4
ALML,3
ALMR,3
ALNL,7
ALNR,8
AQR,3
ASEL,1
ASER,1
ASGL,6
ASGR,1
ASHL,3
ASHR,3
ASIL,1
ASIR,1
ASJL,6
ASJR,1
ASKL,6
ASKR,1
AUAL,4
AUAR,2
AVAL,3
AVAR,3
AVBL,3
AVBR,3
AVDL,3
AVDR,3
AVEL,4
AVER,4
AVFL,3
AVFR,3
AVHL,3
AVHR,3
AVJL,3
AVJR,3
AVKL,2
AVKR,2
AVL,3
AVM,3
AWAL,1
AWAR,2
AWBL,1
AWBR,2
AWCL,1
AWCR,1
BAGL,2
BAGR,4
BDUL,3
BDUR,3
CEPDL,5
CEPDR,5
CEPVL,5
CEPVR,5
DVA,4
DVC,2
FLPL,3
FLPR,3
HSNL,3
HSNR,3
IL1DL,5
IL1DR,5
IL1L,8
IL1R,8
IL1VL,5
IL1VR,5
IL2DL,5
IL2DR,5
IL2L,5
IL2R,5
IL2VL,5
IL2VR,5
OLLL,4
OLLR,5
OLQDL,5
OLQDR,5
OLQVL,5
OLQVR,5
PLNL,8
PLNR,2
PVCL,3
PVCR,3
PVNL,3
PVNR,3
PVPL,3
PVPR,3
PVQL,6
PVQR,1
PVR,5
PVT,2
RIAL,8
RIAR,8
RIBL,4
RIBR,2
RICL,5
RICR,5
RID,3
RIFL,3
RIFR,3
RIGL,4
RIGR,2
RIH,5
RIML,1
RIMR,2
RIPL,5
RIPR,5
RIR,2
RIS,4
RIVL,8
RIVR,8
RMDDL,8
RMDDR,8
RMDL,8
RMDR,8
RMDVL,8
RMDVR,8
RMED,7
RMEL,5
RMER,5
RMEV,5
RMFL,2
RMFR,2
RMGL,8
RMGR,8
RMHL,5
RMHR,5
SAADL,1
SAADR,2
SAAVL,2
SAAVR,3
SDQL,7
SDQR,3
SIADL,8
SIADR,7
SIAVL,8
SIAVR,8
SIBDL,8
SIBDR,8
SIBVL,8
SIBVR,8
SMBDL,8
SMBDR,7
SMBVL,1
SMBVR,2
SMDDL,8
SMDDR,8
SMDVL,8
SMDVR,8
URADL,5
URADR,5
URAVL,5
URAVR,5
URBL,4
URBR,5
URXL,4
URXR,2
URYDL,4
URYDR,8
URYVL,4
URYVR,8
