cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ADAL,interneuron,GS,15,21,36,34,91,125,27,0.000847404431611324,252.946055276976,0.00793880030371527,1.29444444444444,0.012773403647522,0.25400641025641,0.0225746562809926,0.45064448441247
ADAR,interneuron,GS,16,18,34,46,97,143,1270,0.0398593936350512,273.778816163816,0.00859264378142666,1.275,0.01122665073924,0.201077199281867,0.0244367748542533,0.479787552363854
ADEL,sensory,GS,8,35,43,48,129,177,833,0.0261439959826753,476.654025574726,0.0149599530969407,1.36111111111111,0.00870910103181558,0.177455357142857,0.024334890212949,0.431794781794782
ADER,sensory,GS,11,25,36,36,85,121,517.5,0.0162419182725504,465.048936294529,0.0145957233160043,1.3952380952381,0.00977032789706189,0.202093397745572,0.0212585916491181,0.474559082892416
ADFL,sensory,GS,10,20,30,42,136,178,535,0.0167911618856318,212.156138066543,0.00665859450337528,1.23754578754579,0.0164439827210614,0.279205607476636,0.0302605867629425,0.577239096573209
ADFR,sensory,GS,17,22,39,48,202,250,452,0.0141861778921599,463.669736199872,0.0145524366392528,1.26477212506624,0.0188530245449285,0.312242090784044,0.0350045635476369,0.55121235324145
ADLL,sensory,GS,9,24,33,19,148,167,339.5,0.0106553260937794,292.358026588237,0.00917575879066715,1.26465201465201,0.0132222560900093,0.212237093690249,0.026833908577883,0.499888463989803
ADLR,sensory,GS,17,26,43,52,155,207,409,0.0128366078714456,504.71004931697,0.0158405012025915,1.24164696611505,0.0153487709767066,0.265432098765432,0.0310182655668213,0.499701277297075
AFDL,sensory,GS,10,7,17,28,36,64,243,0.00762663988450191,96.9791180059461,0.00304372349525912,1.26683013503909,0.0195320932963721,0.481060606060606,0.0293580081250813,0.527777777777778
AFDR,sensory,GS,9,4,13,46,35,81,169,0.00530412403490051,22.6331771200271,0.000710350170109445,1.28651357094562,0.0253157787224627,0.46,0.0354200281131342,0.679333333333333
AIAL,interneuron,GS,22,18,40,195,101,296,3528,0.110727512397213,409.888159639715,0.012864483071989,1.2547619047619,0.0154077418591505,0.229465449804433,0.0324038891556908,0.540993046501521
AIAR,interneuron,GS,15,13,28,189,89,278,2103.5,0.0660190822923859,188.364018752954,0.00591187052768044,1.23491295938104,0.0317674765623875,0.420980926430518,0.0540579827464884,0.544444444444444
