Source,Target,Weight
Comm1,Comm1,2587
Comm2,Comm1,18
Comm3,Comm1,258
Comm4,Comm1,161
Comm5,Comm1,67
Comm6,Comm1,697
Comm1,Comm2,5
Comm2,Comm2,1168
Comm3,Comm2,16
Comm4,Comm2,3
Comm5,Comm2,6
Comm6,Comm2,31
Comm1,Comm3,237
Comm2,Comm3,9
Comm3,Comm3,3740
Comm4,Comm3,648
Comm5,Comm3,30
Comm6,Comm3,171
Comm1,Comm4,217
Comm2,Comm4,20
Comm3,Comm4,1436
Comm4,Comm4,7379
Comm5,Comm4,17
Comm6,Comm4,496
Comm1,Comm5,131
Comm2,Comm5,14
Comm3,Comm5,58
Comm4,Comm5,124
Comm5,Comm5,2315
Comm6,Comm5,855
Comm1,Comm6,729
Comm2,Comm6,222
Comm3,Comm6,730
Comm4,Comm6,557
Comm5,Comm6,344
Comm6,Comm6,4243
