neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ASIL,sensory,GS,-0.868043460716241,0.254340277777778,2
ASIR,sensory,GS,-0.911374097323692,0.04875,1
ASJL,sensory,GS,-0.673055595982713,0.219926538108356,2
ASJR,sensory,GS,-0.835545483260653,0,1
AWAL,sensory,GS,-0.597226981919674,0,1
AWAR,sensory,GS,-0.131422638389579,0.125554733727811,2
ASGL,sensory,GS,-0.488900390401048,0.119986850756082,2
ASGR,sensory,GS,-0.109757320085854,0,1
AWBL,sensory,GS,-0.521398367856636,0.420351473922903,2
AWBR,sensory,GS,-0.911374097323692,0.42435030259879,2
ASEL,sensory,GS,0.518536910722182,0.0543791872463201,2
ASER,sensory,GS,0.659361479696396,0,1
ADFL,sensory,GS,-0.196418593300755,0.499978071137231,2
ADFR,sensory,GS,0.1068958629514,0.505580357142857,2
AFDL,sensory,GS,-0.683888255134576,0.339444444444444,2
AFDR,sensory,GS,-0.304745184819382,0.10140306122449,2
AWCL,sensory,GS,-0.261414548211931,0.22734693877551,2
AWCR,sensory,GS,0.453540955811006,0.124444444444444,2
ASKL,sensory,GS,0.377712341747967,0.154238227146814,2
ASKR,sensory,GS,0.377712341747967,0.233501783590963,2
ASHL,sensory,GS,0.0418999080402237,0.599918853968353,2
ASHR,sensory,GS,0.139393840406988,0.58846436209263,2
ADLL,sensory,GS,-0.358908480578696,0.570234375,2
ADLR,sensory,GS,-0.17475327499703,0.611765591478791,2
BAGL,sensory,GS,-0.583676059220909,0.310061860876152,2
BAGR,sensory,GS,-0.609955074479949,0.319155264723379,2
URXL,sensory,GS,-0.382203608901599,0.415347008183654,2
URXR,sensory,GS,-0.0580957540401009,0.388792438271605,2
ALNL,sensory,GS,-1.14429505141377,0.417009602194787,2
ALNR,sensory,GS,-0.882008138135389,0.630123456790123,3
PLNL,sensory,GS,-1.20561275368487,0.60166468489893,2
PLNR,sensory,GS,-1.2580191901833,0.660321237358715,3
SDQL,interneuron,GS,-0.852720677822452,0.595502958579882,2
SDQR,interneuron,GS,-0.624278487381542,0.543542107779523,2
