Neuron,Community
ASIL,1
ASIR,1
ASJL,14
ASJR,14
AWAL,1
AWAR,1
ASGL,1
ASGR,1
AWBL,1
AWBR,1
ASEL,1
ASER,1
ADFL,1
ADFR,1
AFDL,1
AFDR,1
AWCL,1
AWCR,1
ASKL,14
ASKR,14
ASHL,1
ASHR,1
ADLL,1
ADLR,1
BAGL,15
BAGR,15
URXL,1
URXR,1
ALNL,6
ALNR,2
PLNL,8
PLNR,5
SDQL,6
SDQR,6
AQR,5
PQR,8
ALML,2
ALMR,2
AVM,2
PVM,2
PLML,2
PLMR,2
FLPL,8
FLPR,8
DVA,2
PVDL,4
PVDR,4
ADEL,1
ADER,1
PDEL,2
PDER,2
PHAL,5
PHAR,5
PHBL,14
PHBR,14
PHCL,8
PHCR,8
IL2DL,9
IL2DR,3
IL2L,1
IL2R,1
IL2VL,6
IL2VR,3
CEPDL,6
CEPDR,6
CEPVL,6
CEPVR,3
URYDL,15
URYDR,8
URYVL,15
URYVR,8
OLLL,15
OLLR,15
OLQDL,6
OLQDR,6
OLQVL,6
OLQVR,6
IL1DL,3
IL1DR,3
IL1L,3
IL1R,3
IL1VL,3
IL1VR,3
AINL,1
AINR,1
AIML,6
AIMR,5
RIH,6
URBL,1
URBR,6
RIR,15
AIYL,6
AIYR,6
AIAL,1
AIAR,1
AUAL,1
AUAR,1
AIZL,1
AIZR,1
RIS,6
ALA,4
PVQL,14
PVQR,14
ADAL,1
ADAR,1
RIFL,16
RIFR,5
BDUL,2
BDUR,2
PVR,2
AVFL,14
AVFR,14
AVHL,14
AVHR,14
PVPL,5
PVPR,5
LUAL,2
LUAR,2
PVNL,8
PVNR,8
AVG,5
DVB,5
RIBL,6
RIBR,6
RIGL,15
RIGR,15
RMGL,1
RMGR,1
AIBL,1
AIBR,6
RICL,1
RICR,1
SAADL,6
SAADR,6
SAAVL,6
SAAVR,6
AVKL,5
AVKR,5
DVC,5
AVJL,8
AVJR,8
PVT,5
AVDL,8
AVDR,8
AVL,5
PVWL,8
PVWR,8
RIAL,6
RIAR,6
RIML,6
RIMR,6
AVEL,6
AVER,6
RMFL,6
RMFR,7
RID,10
AVBL,10
AVBR,10
AVAL,8
AVAR,8
PVCL,8
PVCR,8
RIPL,3
RIPR,3
URADL,9
URADR,3
URAVL,6
URAVR,3
RMEL,3
RMER,1
RMED,3
RMEV,3
RMDDL,6
RMDDR,6
RMDL,6
RMDR,6
RMDVL,6
RMDVR,6
RIVL,6
RIVR,6
RMHL,1
RMHR,1
SABD,8
SABVL,8
SABVR,8
SMDDL,6
SMDDR,6
SMDVL,6
SMDVR,6
SMBDL,6
SMBDR,6
SMBVL,6
SMBVR,6
SIBDL,6
SIBDR,6
SIBVL,6
SIBVR,6
SIADL,6
SIADR,6
SIAVL,6
SIAVR,6
DA01,8
DA02,8
DA03,8
DA04,8
DA05,8
DA06,8
DA07,8
DA08,8
DA09,8
PDA,8
DB01,10
DB02,10
DB03,10
DB04,10
DB05,10
DB06,10
DB07,10
AS01,8
AS02,8
AS03,8
AS04,8
AS05,8
AS06,8
AS07,11
AS08,12
AS09,13
AS10,8
AS11,14
PDB,2
DD01,16
DD02,16
DD03,16
DD04,16
DD05,16
DD06,5
VA01,8
VA02,8
VA03,8
VA04,8
VA05,8
VA06,8
VA07,8
VA08,8
VA09,8
VA10,8
VA11,8
VA12,8
VB01,6
VB02,10
VB03,10
VB04,10
VB05,10
VB06,10
VB07,10
VB08,10
VB09,10
VB10,10
VB11,8
VD01,16
VD02,16
VD03,16
VD04,16
VD05,16
VD06,16
VD07,16
VD08,16
VD09,16
VD10,16
VD11,5
VD12,5
VD13,5
HSNL,14
HSNR,14
VC01,16
VC02,16
VC03,16
VC04,16
VC05,16
VC06,16
