cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,3,3,6,5,5,10,8,0.000103143291818158,49.3476484463249,0.000636234863029897,Inf,0.00242282745710952,0.333333333333333,0.00242282745710952,0.333333333333333
ASIR,sensory,GS,5,5,10,13,13,26,410,0.00528609370568062,96.9736912986603,0.00125027321753772,Inf,0.00396217807348707,0.35,0.00505549110195913,0.433333333333333
ASJL,sensory,GS,6,6,12,13,13,26,6,7.73574688636188e-05,520.197038259281,0.00670685436501484,Inf,0,0,0,0
ASJR,sensory,GS,3,3,6,13,13,26,512,0.00660117067636214,86.8268841626729,0.0011194513313565,Inf,0,0,0,0
AWAL,sensory,GS,4,4,8,7,7,14,0,0,111.561727802765,0.00143835548081232,Inf,0,0,0,0
AWAR,sensory,GS,4,4,8,11,11,22,14,0.000180500760681777,33.9718480726616,0.000437996029920084,Inf,0.00307486529733272,0.25,0.00220128483259642,0.166666666666667
ASGL,sensory,GS,6,6,12,11,11,22,96,0.0012377195018179,417.06784878116,0.00537721885435084,Inf,0,0,0,0
ASGR,sensory,GS,8,8,16,16,16,32,174,0.00224336659704494,276.025321933705,0.00355877004117615,Inf,0.00124554957484827,0.125,0.00150887049560647,0.160714285714286
AWBL,sensory,GS,5,5,10,10,10,20,62,0.000799360511590727,276.182106109108,0.00356079144567066,Inf,0,0,0,0
AWBR,sensory,GS,6,6,12,13,13,26,792,0.0102111858899977,294.706594099059,0.00379962602948685,Inf,0,0,0,0
ASEL,sensory,GS,5,5,10,14,14,28,272.5,0.00351331837755602,186.257409247141,0.00240140028940901,Inf,0.00183154278808533,0.2,0.00237234374291633,0.25
ASER,sensory,GS,4,4,8,6,6,12,4,5.15716459090792e-05,191.03336728838,0.00246297629365385,Inf,0,0,0,0
ADFL,sensory,GS,8,8,16,15,15,30,1026,0.0132281271756788,678.452372091417,0.00874722637491835,Inf,0.0010963252556888,0.125,0.00107022472642039,0.125
ADFR,sensory,GS,9,9,18,22,22,44,907,0.0116938707098837,701.797981254404,0.00904821924723967,Inf,0.000797639642885499,0.0694444444444444,0.000736821960614138,0.0694444444444444
AFDL,sensory,GS,7,7,14,24,24,48,970,0.0125061241329517,756.292502184234,0.00975081228158421,Inf,0.00100751018763936,0.0952380952380952,0.00100751018763936,0.0952380952380952
AFDR,sensory,GS,9,9,18,21,21,42,823.5,0.0106173126015317,1094.73993769924,0.0141143851073881,Inf,0.000508761885579259,0.0555555555555556,0.000627993552885389,0.0694444444444444
AWCL,sensory,GS,3,3,6,3,3,6,0,0,48.9930597180597,0.000631663181945537,Inf,0,0,0,0
