,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
0,ASIL,sensory,GS,5,17,22,17,43,60,33.0,0.0004254660787499,97.3402320083875,0.001254998994461,inf,0.0101599621862002,0.234649122807018,0.0189451236245801,0.470102339181287,sensory,GS,1,6,7,2,34,36,629.0,0.0049491706795077,155.856728307185,0.0012263299681111,inf,0.008226921968791,0.285714285714286,0.0091200648821851,0.273809523809524
1,ASIR,sensory,GS,4,12,16,6,27,33,0.0,0.0,110.787130950292,0.0014283686721628,inf,0.0172382665325895,0.432203389830508,0.024006580595741,0.642302259887006,sensory,GS,0,5,5,0,18,18,0.0,0.0,0.0,0.0,inf,0.0053303929294595,0.2,0.0064039226205489,0.25
2,ASJL,sensory,GS,7,7,14,13,53,66,337.0,0.0043449111678399,253.01640094107,0.0032621180596306,inf,0.0124024366246289,0.241573033707865,0.0194531852757624,0.44063670411985,sensory,GS,0,4,4,0,43,43,0.0,0.0,0.0,0.0,inf,0.0051336705581037,0.166666666666667,0.0037699239498836,0.0833333333333333
3,ASJR,sensory,GS,3,3,6,10,32,42,102.0,0.0013150769706815,22.3286147711922,0.000287880853655,inf,0.0265034749680898,0.533333333333333,0.033623423865629,0.638888888888889,sensory,GS,1,5,6,1,28,29,0.0,0.0,68.4770808950068,0.000538799302041,inf,0.0024449873540761,0.2,0.0035359530004528,0.255555555555556
4,AWAL,sensory,GS,4,8,12,18,54,72,803.0,0.0103530079162476,21.3167468796246,0.0002748349305023,inf,0.0224525031561816,0.296875,0.0332052578141263,0.471484375,sensory,GS,2,9,11,11,107,118,3952.0,0.0310955843011362,786.742018675431,0.0061903347077348,inf,0.0148722588432461,0.292452830188679,0.0220231496001518,0.424528301886792
5,AWAR,sensory,GS,11,13,24,21,93,114,254.0,0.0032747995152265,132.334501872288,0.001706177018028,inf,0.015921839949055,0.312962962962963,0.02831714235146,0.560030864197531,sensory,GS,3,6,9,6,120,126,0.0,0.0,188.282070113057,0.0014814627994921,inf,0.0247738103046864,0.46969696969697,0.0299520965732128,0.651515151515151
6,ASGL,sensory,GS,7,4,11,17,67,84,5.0,6.4464557386349e-05,85.3363997224181,0.00110023464741,inf,0.0263938973576988,0.330188679245283,0.0302865944675796,0.40566037735849,sensory,GS,3,5,8,18,83,101,31.0,0.0002439177918358,63.6189333550186,0.0005005738626744,inf,0.0097803085908395,0.166666666666667,0.0051756990312232,0.157407407407407
7,ASGR,sensory,GS,11,4,15,26,75,101,0.0,0.0,20.5152710775412,0.0002645015739349,inf,0.0253443915623076,0.407766990291262,0.0334395063607127,0.632281553398058,sensory,GS,6,3,9,18,67,85,0.0,0.0,69.4737578807585,0.000546641471381,inf,0.0181513124563166,0.484848484848485,0.0194509426893266,0.568181818181818
8,AWBL,sensory,GS,9,16,25,28,74,102,47.0,0.0006059668394316,228.836969338498,0.0029503747884079,inf,0.0126292494615089,0.249152542372881,0.0256347245980754,0.543559322033898,sensory,GS,3,6,9,11,55,66,0.0,0.0,83.2096543866193,0.0006547198437873,inf,0.0186812182726468,0.357142857142857,0.0235963291723029,0.473809523809524
9,AWBR,sensory,GS,8,15,23,19,40,59,0.0,0.0,128.418978670963,0.0016556945240061,inf,0.0131911666966587,0.330645161290323,0.0217892440350677,0.596942204301075,sensory,GS,4,4,8,19,64,83,0.0,0.0,46.9751908242105,0.0003696156392551,inf,0.028415907885159,0.462962962962963,0.0346208992069353,0.624074074074074
10,ASEL,sensory,GS,13,17,30,37,129,166,504.0,0.0064980273845439,339.430988883516,0.0043762536923173,inf,0.0172046839720083,0.26518691588785,0.0302145230344686,0.501947040498442,sensory,GS,3,5,8,10,39,49,1195.0,0.0094026374594781,52.3011533734308,0.0004115219948811,inf,0.0062435740473827,0.203703703703704,0.0064383854255476,0.203703703703704
11,ASER,sensory,GS,21,17,38,78,115,193,1634.83333333333,0.0210777614467566,444.836647835025,0.0057352395223824,inf,0.0151767130063665,0.276086956521739,0.0312716054649604,0.57719806763285,sensory,GS,4,6,10,10,50,60,1079.0,0.0084899128190602,123.150894165708,0.0009689901344357,inf,0.0133904860805371,0.392857142857143,0.0164906731517176,0.490079365079365
12,ADFL,sensory,GS,10,20,30,42,136,178,652.0,0.0084061782831799,236.681081526181,0.0030515082324615,inf,0.015347717206324,0.279205607476636,0.0282432143120797,0.577239096573209,sensory,GS,6,9,15,53,110,163,300.0,0.0023604947597016,745.679418385591,0.0058672411983885,inf,0.0110786291568591,0.225490196078431,0.0145677152690923,0.343954248366013
13,ADFR,sensory,GS,17,22,39,48,202,250,627.0,0.0080838554962481,543.149614365658,0.0070027798969296,inf,0.0175961562419333,0.312242090784044,0.0326709259777944,0.55121235324145,sensory,GS,7,10,17,58,85,143,494.0,0.003886948037642,605.476891071109,0.0047640834283126,inf,0.0106474779730432,0.223484848484848,0.0125838978480666,0.278409090909091
14,AFDL,sensory,GS,10,7,17,28,36,64,349.0,0.0044996261055671,132.976140692182,0.0017144496105332,inf,0.0182299537432807,0.481060606060606,0.0274008075834092,0.527777777777778,sensory,GS,4,1,5,41,59,100,236.0,0.0018569225442986,2.70363756613757,2.12730743566673e-05,inf,0.016273055782014,0.277777777777778,0.016273055782014,0.277777777777778
15,AFDR,sensory,GS,9,4,13,46,35,81,262.0,0.0033779428070446,32.8419536933512,0.0004234284017089,inf,0.0236280601409652,0.46,0.033058692905592,0.679333333333333,sensory,GS,7,3,10,38,34,72,395.0,0.0031079847669404,80.5137513211496,0.0006335076269249,inf,0.0071293678609331,0.302325581395349,0.0103336707486708,0.479651162790698
16,AWCL,sensory,GS,12,14,26,57,67,124,405.0,0.0052216291482942,187.512618362402,0.0024175835894175,inf,0.0196200041958782,0.34012539184953,0.0314225505912694,0.585841170323929,sensory,GS,4,5,9,54,27,81,44.0,0.0003462058980895,403.306547712034,0.003173343308092,inf,0.0160619740316535,0.367647058823529,0.012982024201099,0.397058823529412
17,AWCR,sensory,GS,14,17,31,62,111,173,1186.0,0.015290993012042,294.278621870577,0.0037941082214303,inf,0.0214182035058327,0.324175824175824,0.0374891066177218,0.586813186813187,sensory,GS,3,2,5,3,58,61,0.0,0.0,154.600240512384,0.0012164435252603,inf,0.0006984474089372,0.1,0.0006984474089372,0.1
18,ASKL,sensory,GS,9,5,14,50,48,98,246.0,0.0031716562234083,31.3166188139164,0.0004037623941352,inf,0.0331477259419556,0.385057471264368,0.0489921541704885,0.626436781609195,sensory,GS,7,4,11,28,22,50,911.0,0.0071680357536272,833.903877588556,0.0065614191104755,inf,0.0070325888634534,0.268518518518519,0.0099249861814083,0.376543209876543
19,ASKR,sensory,GS,7,12,19,27,55,82,302.0,0.0038936592661354,132.248974964263,0.0017050743271739,inf,0.0143317208286537,0.30952380952381,0.0242802189291071,0.558730158730159,sensory,GS,6,4,10,30,42,72,0.0,0.0,182.540924247238,0.001436289650389,inf,0.0107970851414343,0.321428571428571,0.0141741944978785,0.512896825396825
20,ASHL,sensory,GS,10,20,30,22,141,163,134.0,0.0017276501379541,294.160957220671,0.003792591181515,inf,0.0168698209768906,0.294871794871795,0.0310015138541011,0.569017094017094,sensory,GS,2,12,14,9,100,109,641.0,0.0050435904698958,619.38057816895,0.0048734820300959,inf,0.0074289150924048,0.213483146067416,0.0083694162400634,0.264044943820225
21,ASHR,sensory,GS,18,21,39,40,142,182,1667.0,0.0214924834326088,569.192260310005,0.007338545425724,inf,0.0146245093614668,0.309426229508197,0.0288632056806685,0.565742147922999,sensory,GS,5,5,10,21,77,98,0.0,0.0,209.067162785902,0.0016450064739393,inf,0.0122816617367104,0.302325581395349,0.0171169575250383,0.449612403100775
22,ADLL,sensory,GS,9,24,33,19,148,167,567.333333333333,0.007314578444771,484.319687306873,0.0062442908551465,inf,0.0123407723506753,0.212237093690249,0.0250449813393575,0.499888463989803,sensory,GS,1,12,13,3,59,62,4.0,3.14732634626884e-05,28.0706009825448,0.0002208683550699,inf,0.0032123772297395,0.168831168831169,0.0036220598146146,0.209415584415584
23,ADLR,sensory,GS,17,26,43,52,155,207,1171.0,0.0150975993398829,818.56235100821,0.0105536519301747,inf,0.0143255195782595,0.265432098765432,0.0289503811956999,0.499701277297074,sensory,GS,6,8,14,29,144,173,2643.5,0.0207998929909042,1083.80444080417,0.0085277156768653,inf,0.0103877890188922,0.224719101123595,0.0148865368240558,0.344569288389513
24,BAGL,sensory,GS,10,19,29,43,78,121,534.0,0.006884814728862,328.643616044575,0.0042371730492325,inf,0.0122696192783462,0.22875,0.0248405261027682,0.529520833333333,sensory,GS,7,8,15,40,83,123,474.0,0.0037295817203285,820.993142010342,0.0064598333648879,inf,0.0108764549212098,0.228155339805825,0.0155714931680389,0.347087378640777
25,URXL,sensory,GS,18,25,43,73,93,166,399.0,0.0051442716794306,994.228991243466,0.0128185063722373,inf,0.0104159954230646,0.243834080717489,0.0225237793023902,0.464804526748971,sensory,GS,2,1,3,8,1,9,0.0,0.0,0.0,0.0,inf,0.0134714865446015,0.833333333333333,0.015074369838425,0.916666666666667
26,URXR,sensory,GS,22,26,48,76,131,207,1089.0,0.0140403805987468,1106.99855652053,0.0142724343946847,inf,0.0093450334061074,0.191756272401434,0.0229507216369083,0.505727299880526,sensory,GS,3,9,12,10,56,66,10.0,7.86831586567211e-05,533.207311546011,0.0041954435491298,inf,0.0024290938806984,0.0846153846153846,0.0043644512347944,0.152435897435897
27,ALNL,sensory,GS,4,8,12,14,21,35,0.0,0.0,33.4558678594812,0.0004313435427075,inf,0.01256491532433,0.3125,0.0198120735971611,0.489583333333333,sensory,GS,3,8,11,10,61,71,26.0,0.0002045762125074,260.116665920215,0.0020466800893857,inf,0.0074645999663054,0.212962962962963,0.0128181726793753,0.34212962962963
28,ALNR,sensory,GS,9,7,16,23,25,48,0.0,0.0,181.44491880921,0.0023393532762075,inf,0.0106348333554979,0.21304347826087,0.0153781499009152,0.311304347826087,sensory,GS,1,6,7,1,21,22,0.0,0.0,6.03598017479596,4.74929985742294e-05,inf,0.0066523752998746,0.3,0.0094279936041134,0.4375
29,PLNL,sensory,GS,4,3,7,27,25,52,332.0,0.0042804466104535,10.9548233557998,0.0001412395677754,inf,0.0361197495201462,0.421052631578947,0.0500059554530421,0.603070175438596,sensory,GS,4,8,12,12,86,98,203.0,0.0015972681207314,179.011339459131,0.0014085177624015,inf,0.0050886388759551,0.1640625,0.0066074717056138,0.244791666666667
30,PLNR,sensory,GS,3,6,9,16,32,48,750.0,0.0096696836079523,36.7888212000541,0.0004743150150854,inf,0.0171327397178458,0.287878787878788,0.0216344622193704,0.348484848484849,sensory,GS,4,4,8,20,38,58,367.0,0.0028876719227016,265.78563889877,0.0020912853594149,inf,0.0056797189778588,0.12962962962963,0.0057547826038954,0.101851851851852
31,SDQL,sensory,GS,6,20,26,31,60,91,1069.0,0.0137825223692014,208.538809902752,0.0026886724156513,inf,0.0101889990568887,0.224299065420561,0.0209440654665974,0.491147455867082,sensory,GS,3,3,6,26,15,41,0.0,0.0,15.2319750510927,0.00011984999096,inf,0.0222430275556251,0.5,0.0144554888059157,0.307692307692308
32,SDQR,sensory,GS,3,13,16,27,102,129,1051.0,0.0135504499626106,183.606677100945,0.0023672246344981,inf,0.0160220703391404,0.19327731092437,0.0271094801808317,0.365546218487395,sensory,GS,4,12,16,33,155,188,1894.0,0.014902590249583,635.585214967165,0.0050009852309127,inf,0.0113916503031376,0.245762711864407,0.0144598302181416,0.137037037037037
33,AQR,sensory,GS,9,19,28,32,84,116,617.0,0.0079549263814754,214.642364257925,0.0027673650016493,inf,0.0179675526688857,0.347708894878706,0.0324830764112797,0.637241689128482,sensory,GS,5,13,18,11,53,64,638.0,0.0050199855222988,448.948495809864,0.0035324685724503,inf,0.0041855228310204,0.210526315789474,0.0070992928245013,0.371052631578947
34,PQR,sensory,GS,4,16,20,19,102,121,286.5,0.0036938191382378,144.368111320047,0.00186132527939,inf,0.0294312246138183,0.409090909090909,0.0396812843006518,0.601158645276292,sensory,GS,16,24,40,85,212,297,663.0,0.0052166934189406,1064.98927251258,0.0083796719896813,inf,0.0067291926357979,0.22609819121447,0.013463229464064,0.477842377260982
