,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
0,ASIL,sensory,GS,8,19,27,22,48,70,6.0,7.73574688636188e-05,72.1946549898906,0.0009307992959166,1.35999149659864,0.0025217279336805,0.292753623188406,0.0048269194752628,0.571159420289855,sensory,GS,2,7,9,6,38,44,2.0,1.57366317313442e-05,51.6395718203893,0.0004063164622508,inf,0.0033327749032283,0.2,0.0047331085700052,0.25
1,ASIR,sensory,GS,8,14,22,19,40,59,109.0,0.0014053273510224,75.4523899119752,0.0009728009838835,1.37690166975881,0.0046744504916358,0.448888888888889,0.0066049675714641,0.674074074074074,sensory,GS,5,8,13,10,28,38,4.0,3.14732634626884e-05,394.702044573712,0.0031056403595325,inf,0.0022980305114755,0.219178082191781,0.0024478914132614,0.232876712328767
2,ASJL,sensory,GS,10,11,21,26,66,92,41.0,0.000528609370568,180.600561043252,0.0023284670462759,1.34439092820179,0.002983428309077,0.251231527093596,0.0050658019777772,0.408456486042693,sensory,GS,2,6,8,9,52,61,580.0,0.0045636232020898,762.928182115155,0.006002959919705,inf,0.0027499264497194,0.173076923076923,0.0018615831122975,0.0961538461538462
3,ASJR,sensory,GS,5,5,10,23,45,68,14.0,0.0001805007606817,6.52287761991367,8.40988837306113e-05,1.33574703586224,0.0083160877099095,0.642857142857143,0.010825732781743,0.785714285714286,sensory,GS,1,6,7,3,30,33,0.0,0.0,46.8497807562888,0.0003686288732279,inf,0.0022366041699241,0.25,0.0034544013132562,0.325
4,AWAL,sensory,GS,7,11,18,25,61,86,380.0,0.0048993063613625,29.8552528486253,0.0003849211321088,1.23191391941392,0.0047299569656814,0.387755102040816,0.0070962719224399,0.570294784580499,sensory,GS,3,10,13,24,120,144,2637.0,0.0207487489377774,243.305184211048,0.001914402041128,inf,0.0102661738126552,0.34,0.0154287175142455,0.515555555555556
5,AWAR,sensory,GS,12,14,26,32,104,136,317.0,0.0040870529382945,101.919755689473,0.0013140423878893,1.2734593837535,0.0046057477868993,0.342767295597484,0.0075831561313627,0.567610062893082,sensory,GS,4,7,11,11,125,136,340.0,0.0026752273943285,99.3291990311765,0.0007815535126615,inf,0.0125320369159091,0.441176470588235,0.0154346908379557,0.588235294117647
6,ASGL,sensory,GS,10,9,19,28,78,106,89.0,0.001147469121477,49.6420031775893,0.000640029952523,1.27261632341724,0.0052632808851665,0.384146341463415,0.0080682470991859,0.652947154471545,sensory,GS,4,6,10,25,90,115,58.0,0.0004563623202089,79.7671602581196,0.0006276332126185,inf,0.0051762034970601,0.151162790697674,0.0038541889486412,0.191860465116279
7,ASGR,sensory,GS,15,10,25,42,91,133,1.0,1.28929114772698e-05,48.7003082088396,0.0006278887626523,1.25256304542019,0.005618194082758,0.451890034364261,0.0077687863616546,0.698739977090493,sensory,GS,6,3,9,18,67,85,0.0,0.0,39.7642556493332,0.0003128777236122,inf,0.0116376564955108,0.575757575757576,0.0125485950140715,0.666666666666667
8,AWBL,sensory,GS,14,20,34,38,84,122,45.0,0.0005801810164771,255.901344032434,0.0032993133755245,1.25845238095238,0.0025925032263598,0.248638838475499,0.0054568897525958,0.558045977011494,sensory,GS,4,7,11,12,56,68,0.0,0.0,104.136897956996,0.0008193820063969,inf,0.0077017418645227,0.311320754716981,0.0099377827230162,0.397798742138365
9,AWBR,sensory,GS,13,19,32,32,53,85,7.0,9.02503803408886e-05,184.764387171172,0.0023821508879499,1.35711448281208,0.0023101812078565,0.262345679012346,0.0043531268961973,0.515860768175583,sensory,GS,5,5,10,22,67,89,0.0,0.0,31.5559687646885,0.0002482923296878,inf,0.0149673876428298,0.488372093023256,0.018811981010719,0.662790697674418
