,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
0,ASIL,sensory,GS,3,3,6,5,5,10,8.0,0.0001031432918181,49.3476484463249,0.0006362348630298,inf,0.0024228274571095,0.333333333333333,0.0024228274571095,0.333333333333333,sensory,GS,1,1,2,4,4,8,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
1,ASIR,sensory,GS,5,5,10,13,13,26,410.0,0.0052860937056806,96.9736912986603,0.0012502732175377,inf,0.003962178073487,0.35,0.0050554911019591,0.433333333333333,sensory,GS,5,5,10,10,10,20,2304,0.0181285997545085,2506.52648098888,0.0197221420780921,inf,0.0004,0.1,0.0004,0.1
2,ASJL,sensory,GS,6,6,12,13,13,26,6.0,7.73574688636188e-05,520.197038259281,0.0067068543650148,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,9,9,18,642,0.0050514587857615,642.0,0.0050514587857615,inf,0.0,0.0,0.0,0.0
3,ASJR,sensory,GS,3,3,6,13,13,26,512.0,0.0066011706763621,86.8268841626729,0.0011194513313565,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,2,2,4,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
4,AWAL,sensory,GS,4,4,8,7,7,14,0.0,0.0,111.561727802765,0.0014383554808123,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,13,13,26,1032,0.0081201019733736,278.518519596082,0.0021914716866213,inf,0.0,0.0,0.0,0.0
5,AWAR,sensory,GS,4,4,8,11,11,22,14.0,0.0001805007606817,33.9718480726616,0.00043799602992,inf,0.0030748652973327,0.25,0.0022012848325964,0.166666666666667,sensory,GS,1,1,2,5,5,10,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
6,ASGL,sensory,GS,6,6,12,11,11,22,96.0,0.0012377195018179,417.06784878116,0.0053772188543508,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,7,7,14,642,0.0050514587857615,642.0,0.0050514587857615,inf,0.0,0.0,0.0,0.0
7,ASGR,sensory,GS,8,8,16,16,16,32,174.0,0.0022433665970449,276.025321933705,0.0035587700411761,inf,0.0012455495748482,0.125,0.0015088704956064,0.160714285714286,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
8,AWBL,sensory,GS,5,5,10,10,10,20,62.0,0.0007993605115907,276.182106109108,0.0035607914456706,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,1,1,2,0,0.0,0.0,0.0,inf,inf,inf,0.0,0.0
9,AWBR,sensory,GS,6,6,12,13,13,26,792.0,0.0102111858899977,294.706594099059,0.0037996260294868,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,3,3,6,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
10,ASEL,sensory,GS,5,5,10,14,14,28,272.5,0.003513318377556,186.257409247141,0.002401400289409,inf,0.0018315427880853,0.2,0.0023723437429163,0.25,sensory,GS,1,1,2,1,1,2,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
11,ASER,sensory,GS,4,4,8,6,6,12,4.0,5.15716459090792e-05,191.03336728838,0.0024629762936538,inf,0.0,0.0,0.0,0.0,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
12,ADFL,sensory,GS,8,8,16,15,15,30,1026.0,0.0132281271756788,678.452372091417,0.0087472263749183,inf,0.0010963252556888,0.125,0.0010702247264203,0.125,sensory,GS,2,2,4,6,6,12,16,0.0001258930538507,151.602359445757,0.0011928552501003,inf,0.0,0.0,0.0,0.0
13,ADFR,sensory,GS,9,9,18,22,22,44,907.0,0.0116938707098837,701.797981254404,0.0090482192472396,inf,0.0007976396428854,0.0694444444444444,0.0007368219606141,0.0694444444444444,sensory,GS,3,3,6,7,7,14,1886,0.0148396437226576,799.657415921102,0.0062919571327943,inf,0.0,0.0,0.0,0.0
14,AFDL,sensory,GS,7,7,14,24,24,48,970.0,0.0125061241329517,756.292502184234,0.0097508122815842,inf,0.0010075101876393,0.0952380952380952,0.0010075101876393,0.0952380952380952,sensory,GS,1,1,2,5,5,10,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
15,AFDR,sensory,GS,9,9,18,21,21,42,823.5,0.0106173126015317,1094.73993769924,0.0141143851073881,inf,0.0005087618855792,0.0555555555555556,0.0006279935528853,0.0694444444444444,sensory,GS,3,3,6,9,9,18,646,0.0050829320492241,745.921826197291,0.0058691485396192,inf,0.0,0.0,0.0,0.0
16,AWCL,sensory,GS,3,3,6,3,3,6,0.0,0.0,48.9930597180597,0.0006316631819455,inf,0.0,0.0,0.0,0.0,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
17,AWCR,sensory,GS,5,5,10,9,9,18,28.0,0.0003610015213635,77.2322652184417,0.0009957487586503,inf,0.0026597763142634,0.35,0.0028221991840456,0.35,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
18,ASKL,sensory,GS,7,7,14,47,47,94,2545.5,0.0328189061653903,442.585218118515,0.0057062120383501,inf,0.0015009743960533,0.119047619047619,0.0009817970838155,0.0952380952380952,sensory,GS,5,5,10,15,15,30,1956,0.0153904258332547,3169.12983088756,0.0249357145287474,inf,0.0004160167646103,0.05,0.0,0.0
19,ASKR,sensory,GS,12,12,24,61,61,122,1070.0,0.0137954152806787,1023.28963990889,0.0131931827429526,inf,0.0034898223926345,0.287878787878788,0.0085349674811045,0.154545454545455,sensory,GS,5,5,10,13,13,26,2920,0.0229754823277626,3503.83867332335,0.0275693094240656,inf,0.0004,0.1,0.0004,0.1
20,ASHL,sensory,GS,7,7,14,38,38,76,2115.5,0.0272749542301643,382.729998914945,0.0049345039957059,inf,0.0006503534742717,0.0952380952380952,0.0008411418565836,0.119047619047619,sensory,GS,1,1,2,9,9,18,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
21,ASHR,sensory,GS,11,11,22,35,35,70,1645.0,0.0212088393801088,2297.52604246462,0.0296217998822184,inf,0.0004577747796103,0.0727272727272727,0.0003916776348981,0.0636363636363636,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
22,ADLL,sensory,GS,4,4,8,12,12,24,529.5,0.0068267966272143,431.360911961851,0.0055614980526785,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,14,14,28,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
23,ADLR,sensory,GS,3,3,6,8,8,16,8.0,0.0001031432918181,73.5486679410589,0.0009482564650351,inf,0.0008399473665965,0.166666666666667,0.0,0.0,sensory,GS,2,2,4,16,16,32,642,0.0050514587857615,642.0,0.0050514587857615,inf,0.0,0.0,0.0,0.0
24,BAGL,sensory,GS,5,5,10,11,11,22,905.0,0.0116680848869292,513.809580776605,0.0066245014411258,inf,0.0032663117580365,0.2,0.0032663117580365,0.2,sensory,GS,1,1,2,15,15,30,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
25,URXL,sensory,GS,2,2,4,4,4,8,0.0,0.0,0.0,0.0,inf,0.0098648482973218,1.0,0.0098648482973218,1.0,sensory,GS,4,4,8,5,5,10,72,0.0005665187423283,1496.59955187596,0.0117757179985834,inf,0.001544747061888,0.25,0.0012114137285547,0.166666666666667
