Neuron,Community
ASIL,1
ASIR,1
ASJL,1
ASJR,5
AWAL,4
AWAR,1
ASGL,1
ASGR,1
AWBL,4
AWBR,1
ASEL,1
ASER,1
ADFL,4
ADFR,1
AFDL,4
AFDR,1
AWCL,1
AWCR,1
ASKL,1
ASKR,1
ASHL,1
ASHR,1
ADLL,1
ADLR,1
BAGL,4
URXL,4
URXR,2
ALNL,2
ALNR,4
PLNL,4
PLNR,1
SDQL,4
SDQR,2
AQR,2
PQR,2
ALML,2
ALMR,2
AVM,5
PVM,2
PLML,2
PLMR,2
FLPL,2
FLPR,2
DVA,2
PVDL,2
PVDR,2
ADEL,2
ADER,2
PDEL,2
PDER,2
PHAL,5
PHAR,5
PHBL,3
PHBR,5
PHCL,3
PHCR,3
IL2DL,4
IL2DR,4
IL2L,4
IL2R,4
IL2VL,4
IL2VR,4
CEPDL,4
CEPDR,4
CEPVL,4
CEPVR,4
URYDR,2
URYVL,2
URYVR,2
OLLL,4
OLLR,4
OLQDL,4
OLQDR,4
OLQVL,4
OLQVR,4
IL1DL,4
IL1DR,4
IL1L,4
IL1R,4
IL1VL,4
IL1VR,4
AINL,4
AINR,4
AIML,1
AIMR,1
RIH,4
URBL,4
URBR,4
RIR,2
AIYL,4
AIYR,1
AIAL,1
AIAR,1
AUAL,4
AUAR,4
AIZL,4
AIZR,1
RIS,2
ALA,2
PVQL,1
PVQR,5
ADAL,2
RIFL,2
RIFR,5
BDUL,2
BDUR,2
PVR,2
AVFL,5
AVFR,5
AVHL,2
AVHR,1
PVPL,2
PVPR,5
LUAL,5
LUAR,5
PVNL,5
PVNR,5
AVG,3
DVB,3
RIBL,4
RIBR,4
RIGL,2
RIGR,2
RMGL,4
RMGR,4
AIBL,1
AIBR,1
RICL,4
RICR,4
SAADL,4
SAADR,1
SAAVL,2
SAAVR,2
AVKL,2
AVKR,2
DVC,2
AVJL,2
AVJR,5
PVT,2
AVDL,2
AVDR,2
AVL,2
PVWL,5
PVWR,7
RIAL,4
RIAR,4
RIML,2
RIMR,2
AVEL,2
AVER,2
RMFL,2
RMFR,2
RID,2
AVBL,2
AVBR,5
AVAL,2
AVAR,2
PVCL,2
PVCR,2
RIPL,4
RIPR,4
URADL,4
URADR,4
URAVL,4
URAVR,4
RMEL,4
RMER,4
RMED,4
RMEV,4
RMDDL,4
RMDDR,4
RMDL,4
RMDR,4
RMDVL,4
RMDVR,4
RIVL,4
RIVR,4
RMHL,4
RMHR,4
SABD,2
SABVL,2
SABVR,2
SMDDL,4
SMDDR,4
SMDVL,4
SMDVR,4
SMBDL,4
SMBDR,4
SMBVL,4
SMBVR,1
SIBDL,4
SIBDR,4
SIBVL,4
SIBVR,4
SIADL,4
SIADR,4
SIAVL,4
SIAVR,4
DA01,2
DA02,2
DA03,2
DA04,2
DA05,2
DA06,2
DA07,2
DA08,6
DA09,6
PDA,7
DB01,2
DB02,2
DB03,2
DB04,2
DB05,2
DB06,2
DB07,6
AS01,2
AS02,2
AS03,2
AS04,2
AS05,2
AS06,2
AS07,2
AS08,2
AS09,6
AS10,6
AS11,7
PDB,7
DD01,2
DD02,2
DD03,2
DD04,2
DD05,6
DD06,6
VA01,2
VA02,2
VA03,2
VA04,2
VA05,2
VA06,2
VA07,2
VA08,2
VA09,2
VA10,6
VA11,6
VA12,6
VB01,2
VB02,2
VB03,2
VB04,2
VB05,2
VB06,2
VB07,6
VB08,6
VB09,6
VB10,6
VB11,6
VD01,2
VD02,2
VD03,2
VD04,2
VD05,2
VD06,2
VD07,2
VD08,2
VD09,6
VD10,6
VD11,6
VD12,6
VD13,7
CEMDL,2
CEMDR,2
CEMVL,4
CEMVR,2
MCML,2
MCMR,5
R1AL,7
R1AR,7
R1BL,7
R1BR,5
R2AL,7
R2AR,7
R2BL,3
R2BR,3
R3AL,7
R3AR,7
R3BL,5
R3BR,5
R4AL,7
R4AR,7
R4BL,3
R4BR,3
R5AL,7
R5AR,7
R5BL,7
R5BR,5
R6AL,7
R6AR,7
R6BL,5
R6BR,5
R7AL,7
R7AR,7
R7BL,7
R7BR,7
R8AL,3
R8AR,3
R8BL,3
R8BR,3
R9AL,3
R9AR,3
R9BL,5
R9BR,5
PHDL,5
PHDR,5
HOA,3
HOB,3
PCAL,3
PCAR,3
PCBL,3
PCBR,3
PCCL,3
PCCR,3
SPCL,3
SPCR,3
SPDL,6
SPDR,6
SPVL,6
SPVR,6
PVV,7
PVX,3
PVY,3
PVZ,3
DVE,3
DVF,3
DX1,3
DX2,3
DX3,3
EF1,5
EF2,5
EF3,5
PDC,7
PGA,7
CA02,3
CA03,3
CA04,7
CA05,3
CA06,3
CA07,6
CA08,6
CA09,6
CP01,3
CP02,3
CP03,3
CP04,3
CP05,3
CP06,3
CP07,7
CP08,7
CP09,7
