neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ASIL,sensory,GS,-0.785946560146551,0.250865051903114,2
ASIR,sensory,GS,-0.90468183446912,0,1
ASJL,sensory,GS,-0.678005401671488,0.16873985938345,2
ASJR,sensory,GS,-1.19495087353308,0.364795918367347,2
AWAL,sensory,GS,-0.2807060531038,0.12228142195825,2
AWAR,sensory,GS,0.261082677061558,0,1
ASGL,sensory,GS,-0.0843290300586428,0.154449121788358,2
ASGR,sensory,GS,-0.181476072686199,0,1
AWBL,sensory,GS,-0.531691799190206,0,1
AWBR,sensory,GS,-0.548476011501413,0.5,2
ASEL,sensory,GS,-0.753564212604032,0.42603550295858,2
ASER,sensory,GS,-0.462123084721362,0,1
ADFL,sensory,GS,-0.138844544446265,0.18,2
ADFR,sensory,GS,-0.213858420228718,0.49439446366782,2
AFDL,sensory,GS,-0.368005443046898,0,1
AFDR,sensory,GS,-0.429740737178844,0.110726643598616,2
AWCL,sensory,GS,-0.311005462856275,0.301783264746228,2
AWCR,sensory,GS,-0.462123084721362,0,1
ASKL,sensory,GS,-0.624034822433957,0.396694214876033,2
ASKR,sensory,GS,-0.483711316416375,0.046485260770975,1
ASHL,sensory,GS,-0.44053485302635,0.6334,3
ASHR,sensory,GS,-0.364976042093806,0.446618316748187,2
ADLL,sensory,GS,-0.731975980909019,0.542947428899741,2
ADLR,sensory,GS,0.304259140451583,0.420910493827161,2
BAGL,sensory,GS,-0.438936197375665,0.434315575555233,2
URXL,sensory,GS,-0.837239663991049,0,1
URXR,sensory,GS,-0.619336972833168,0.448341836734694,2
ALNL,sensory,GS,-0.520421283646863,0.428916957807041,2
ALNR,sensory,GS,-0.809958604633831,0.471655328798186,2
PLNL,sensory,GS,-0.395286502404116,0.0229853975121688,1
PLNR,sensory,GS,-0.602446590738944,0.265927977839335,2
SDQL,interneuron,GS,-0.695378155333515,0.231111111111111,2
SDQR,interneuron,GS,0.3918011832935,0.383267429760666,2
AQR,sensory,GS,-0.619336972833168,0.580989676041296,2
PQR,sensory,GS,0.688548250852414,0.439524741901032,2
ALML,sensory,GS,-0.542402547910486,0.509083044982699,2
ALMR,sensory,GS,-0.388533698065124,0.466701352757544,2
AVM,sensory,GS,-1.12742721863055,0.59504132231405,2
PVM,sensory,GS,-0.608346340701356,0,1
PLML,sensory,GS,-0.377543065933312,0.118921642731167,2
PLMR,sensory,GS,-0.278627376747008,0.0285654274312119,1
FLPL,sensory,GS,0.369819919029877,0.322306238185255,2
FLPR,sensory,GS,-0.509430651515052,0.354006337709371,2
DVA,interneuron,GS,1.7216676712427,0.32149843912591,2
PVDL,sensory,GS,0.996285950543139,0.3199462890625,2
PVDR,sensory,GS,1.20510796104756,0.0491490713932632,1
ADEL,sensory,GS,-0.509430651515052,0.209843158464035,2
ADER,sensory,GS,-0.729243294151284,0.197530864197531,2
PDEL,sensory,GS,-0.113767894769834,0.0867768595041323,2
PDER,sensory,GS,-0.0148522055835292,0.17636684303351,2
PHAL,sensory,GS,-0.24286733940747,0.614809842833804,2
PHAR,sensory,GS,0.0879985696149039,0.588643645425418,2
PHBL,sensory,GS,-0.773622757545487,0.539047757294237,2
PHBR,sensory,GS,-0.654761634312874,0.62375568668078,2
PHCL,sensory,GS,2.41672800137856,0.175841405967728,2
PHCR,sensory,GS,2.41672800137856,0.128580633037129,2
IL2DL,sensory,GS,-0.739027850305064,0,1
IL2DR,sensory,GS,-0.651728460361966,0.0444214876033058,1
IL2L,sensory,GS,-0.117019696960491,0,1
IL2R,sensory,GS,-0.133388332574822,0.0540123456790124,2
IL2VL,sensory,GS,-0.258881205618025,0,1
IL2VR,sensory,GS,-0.204319086903589,0,1
CEPDL,sensory,GS,-0.144300756317709,0.18161412100806,2
CEPDR,sensory,GS,-0.122475908831935,0.0599426081411415,2
CEPVL,sensory,GS,-0.057001366374611,0.0145977508650519,1
CEPVR,sensory,GS,0.314021040883555,0.303017020965739,2
URYDR,sensory,GS,-0.938065304655704,0,1
