Neuron,Community
ADAL,4
ADEL,4
ADER,4
ADFL,3
ADFR,6
ADLL,1
ADLR,9
AFDL,3
AFDR,6
AIAL,1
AIAR,9
AIBL,1
AIBR,9
AIML,1
AIMR,9
AINL,6
AINR,3
AIYL,3
AIYR,6
AIZL,3
AIZR,6
ALA,4
ALML,8
ALMR,7
ALNL,4
ALNR,10
AQR,4
ASEL,1
ASER,6
ASGL,1
ASGR,9
ASHL,1
ASHR,9
ASIL,1
ASIR,9
ASJL,1
ASJR,9
ASKL,1
ASKR,9
AUAL,3
AUAR,6
AVAL,4
AVAR,4
AVBL,4
AVBR,4
AVDL,9
AVDR,4
AVEL,4
AVER,4
AVFL,4
AVFR,4
AVHL,4
AVHR,2
AVJL,4
AVJR,9
AVKL,4
AVKR,4
AVL,4
AVM,4
AWAL,3
AWAR,6
AWBL,3
AWBR,6
AWCL,1
AWCR,6
BAGL,6
BDUL,8
BDUR,7
CEPDL,8
CEPDR,7
CEPVL,5
CEPVR,7
DVA,4
DVC,4
FLPL,4
FLPR,4
IL1DL,8
IL1DR,7
IL1L,8
IL1R,5
IL1VL,5
IL1VR,7
IL2DL,5
IL2DR,7
IL2L,8
IL2R,7
IL2VL,5
IL2VR,7
OLLL,8
OLLR,7
OLQDL,8
OLQDR,7
OLQVL,5
OLQVR,7
PLNL,10
PLNR,2
PVCL,4
PVCR,4
PVNL,4
PVNR,4
PVPL,4
PVPR,4
PVQL,1
PVQR,9
PVR,4
PVT,4
RIAL,3
RIAR,6
RIBL,3
RIBR,6
RICL,7
RICR,8
RID,4
RIFL,4
RIFR,4
RIGL,4
RIGR,4
RIH,7
RIML,4
RIMR,4
RIPL,5
RIPR,7
RIR,4
RIS,4
RIVL,2
RIVR,10
RMDDL,5
RMDDR,6
RMDL,8
RMDR,8
RMDVL,6
RMDVR,5
RMED,10
RMEL,5
RMER,7
RMEV,4
RMFL,4
RMFR,4
RMGL,8
RMGR,5
RMHL,8
RMHR,8
SAADL,10
SAADR,2
SAAVL,4
SAAVR,4
SDQL,8
SDQR,4
SIADL,10
SIADR,8
SIAVL,10
SIAVR,2
SIBDL,10
SIBDR,8
SIBVL,6
SIBVR,10
SMBDL,10
SMBDR,8
SMBVL,10
SMBVR,2
SMDDL,10
SMDDR,8
SMDVL,6
SMDVR,10
URADL,5
URADR,7
URAVL,5
URAVR,7
URBL,8
URBR,7
URXL,8
URXR,4
URYDR,4
URYVL,4
URYVR,4
