cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ADAL,interneuron,GS,3,16,19,14,87,101,1789,0.0594312670254468,561.345774615534,0.0186481222050207,Inf,0.0050037924590555,0.150887573964497,0.00786128442515743,0.27189349112426
ADEL,sensory,GS,3,10,13,9,43,52,127,0.0042189887715102,664.325626611783,0.0220691524354456,Inf,0.00392203611818229,0.197368421052632,0.0058493251947908,0.254385964912281
ADER,sensory,GS,2,6,8,3,27,30,0,0,69.8389655064578,0.00232007725421759,Inf,0.00380191289537119,0.192307692307692,0.00368945225659476,0.173076923076923
ADFL,sensory,GS,6,9,15,53,110,163,321,0.0106637432728722,210.314858280875,0.0069867403588092,Inf,0.0125687371721092,0.225490196078431,0.0165271155684438,0.343954248366013
ADFR,sensory,GS,7,10,17,58,85,143,327,0.0108630655770381,307.521864552025,0.010215994437314,Inf,0.0120795948933941,0.223484848484848,0.0142764689036545,0.278409090909091
ADLL,sensory,GS,1,12,13,3,59,62,7,0.000232542688193476,32.8212619080266,0.00109033492485638,Inf,0.00364445136005541,0.168831168831169,0.00410923745049844,0.209415584415584
ADLR,sensory,GS,6,8,14,29,144,173,1744.5,0.0579529599362169,294.09732601754,0.00977002611180453,Inf,0.0117849770155853,0.224719101123595,0.0168888195547767,0.344569288389513
AFDL,sensory,GS,4,1,5,41,59,100,139,0.00461763337984187,2.32863756613757,7.73582342082774e-05,Inf,0.0184618293667294,0.277777777777778,0.0184618293667294,0.277777777777778
AFDR,sensory,GS,7,3,10,38,34,72,219,0.00727526410205302,71.4377535852268,0.00237318960817311,Inf,0.00808828868433346,0.302325581395349,0.0117235796797786,0.479651162790698
AIAL,interneuron,GS,10,6,16,170,134,304,1395,0.0463424357185569,410.206414403622,0.0136272146170893,Inf,0.0265999134474967,0.316239316239316,0.0402807532051262,0.326217228464419
AIAR,interneuron,GS,12,7,19,254,31,285,1140.5,0.0378878479835227,482.303762604014,0.0160223162116807,Inf,0.0129860179144639,0.274390243902439,0.0198879570914213,0.427337398373984
AIBL,interneuron,GS,21,13,34,297,131,428,1892,0.0628529665802937,807.253967656737,0.0268172868133924,Inf,0.00734817432220536,0.153500897666068,0.0176020264683974,0.212191715766767
