Neuron,Community
ASIL,2
ASIR,1
ASJL,4
ASJR,4
AWAL,2
AWAR,2
ASGL,2
ASGR,1
AWBL,2
AWBR,2
ASEL,2
ASER,1
ADFL,2
ADFR,2
AFDL,2
AFDR,2
AWCL,2
AWCR,2
ASKL,2
ASKR,1
ASHL,2
ASHR,1
ADLL,1
ADLR,1
BAGL,2
URXL,2
URXR,2
ALNL,2
ALNR,2
PLNL,2
PLNR,2
SDQL,2
SDQR,6
AQR,6
PQR,6
ALML,6
ALMR,6
AVM,6
PVM,5
PLML,5
PLMR,5
FLPL,6
FLPR,6
DVA,5
PVDL,3
PVDR,3
ADEL,2
ADER,2
PDEL,5
PDER,5
PHAL,4
PHAR,4
PHBL,4
PHBR,4
PHCL,8
PHCR,8
IL2DL,2
IL2DR,2
IL2L,2
IL2R,2
IL2VL,2
IL2VR,2
CEPDL,2
CEPDR,2
CEPVL,2
CEPVR,2
URYDR,2
URYVL,2
URYVR,6
OLLL,2
OLLR,2
OLQDL,2
OLQDR,2
OLQVL,2
OLQVR,2
IL1DL,2
IL1DR,2
IL1L,2
IL1R,2
IL1VL,2
IL1VR,2
AINL,2
AINR,2
AIML,2
AIMR,1
RIH,2
URBL,2
URBR,2
RIR,2
AIYL,2
AIYR,2
AIAL,2
AIAR,1
AUAL,2
AUAR,2
AIZL,2
AIZR,2
RIS,2
ALA,3
PVQL,4
PVQR,4
ADAL,2
RIFL,2
RIFR,4
BDUL,5
BDUR,5
PVR,5
AVFL,4
AVFR,4
AVHL,4
AVHR,4
PVPL,6
PVPR,5
LUAL,4
LUAR,4
PVNL,4
PVNR,4
AVG,8
DVB,8
RIBL,2
RIBR,2
RIGL,2
RIGR,2
RMGL,2
RMGR,2
AIBL,2
AIBR,1
RICL,2
RICR,2
SAADL,2
SAADR,2
SAAVL,2
SAAVR,2
AVKL,5
AVKR,5
DVC,8
AVJL,4
AVJR,4
PVT,8
AVDL,6
AVDR,6
AVL,7
PVWL,4
PVWR,4
RIAL,2
RIAR,2
RIML,2
RIMR,2
AVEL,2
AVER,2
RMFL,2
RMFR,2
RID,6
AVBL,6
AVBR,6
AVAL,6
AVAR,6
PVCL,6
PVCR,6
RIPL,2
RIPR,2
URADL,2
URADR,2
URAVL,2
URAVR,2
RMEL,2
RMER,2
RMED,2
RMEV,2
RMDDL,2
RMDDR,2
RMDL,2
RMDR,2
RMDVL,2
RMDVR,2
RIVL,2
RIVR,2
RMHL,2
RMHR,2
SABD,2
SABVL,2
SABVR,2
SMDDL,2
SMDDR,2
SMDVL,2
SMDVR,2
SMBDL,2
SMBDR,2
SMBVL,2
SMBVR,2
SIBDL,2
SIBDR,2
SIBVL,2
SIBVR,2
SIADL,2
SIADR,2
SIAVL,2
SIAVR,2
DA01,6
DA02,6
DA03,6
DA04,6
DA05,6
DA06,6
DA07,6
DA08,6
DA09,6
PDA,7
DB01,6
DB02,6
DB03,6
DB04,6
DB05,6
DB06,6
DB07,6
AS01,6
AS02,6
AS03,6
AS04,6
AS05,6
AS06,6
AS07,6
AS08,6
AS09,6
AS10,6
AS11,7
PDB,7
DD01,6
DD02,6
DD03,6
DD04,6
DD05,6
DD06,8
VA01,6
VA02,6
VA03,6
VA04,6
VA05,6
VA06,6
VA07,6
VA08,6
VA09,6
VA10,6
VA11,6
VA12,6
VB01,6
VB02,6
VB03,6
VB04,6
VB05,6
VB06,6
VB07,6
VB08,6
VB09,6
VB10,6
VB11,6
VD01,6
VD02,6
VD03,6
VD04,6
VD05,6
VD06,6
VD07,6
VD08,6
VD09,6
VD10,6
VD11,6
VD12,6
VD13,7
CEMDL,2
CEMDR,2
CEMVL,2
CEMVR,6
MCML,4
MCMR,4
R1AL,7
R1AR,7
R1BL,7
R1BR,4
R2AL,7
R2AR,7
R2BL,8
R2BR,8
R3AL,7
R3AR,7
R3BL,4
R3BR,4
R4AL,7
R4AR,7
R4BL,8
R4BR,8
R5AL,7
R5AR,7
R5BL,7
R5BR,4
R6AL,7
R6AR,7
R6BL,4
R6BR,4
R7AL,7
R7AR,7
R7BL,7
R7BR,7
R8AL,8
R8AR,8
R8BL,8
R8BR,8
R9AL,8
R9AR,8
R9BL,4
R9BR,4
PHDL,4
PHDR,4
HOA,8
HOB,8
PCAL,8
PCAR,8
PCBL,8
PCBR,8
PCCL,8
PCCR,8
SPCL,8
SPCR,8
SPDL,8
SPDR,8
SPVL,8
SPVR,8
PVV,7
PVX,8
PVY,8
PVZ,8
DVE,8
DVF,8
DX1,8
DX2,8
DX3,8
EF1,4
EF2,4
EF3,4
PDC,7
PGA,4
CA02,4
CA03,7
CA04,7
CA05,8
CA06,8
CA07,8
CA08,6
CA09,5
CP01,8
CP02,8
CP03,8
CP04,8
CP05,8
CP06,8
CP07,7
CP08,7
CP09,7
