Source,Target,Weight
Comm1,Comm1,449
Comm2,Comm1,137
Comm4,Comm1,52
Comm5,Comm1,6
Comm6,Comm1,4
Comm8,Comm1,11
Comm1,Comm2,187
Comm2,Comm2,12063
Comm3,Comm2,5
Comm4,Comm2,149
Comm5,Comm2,244
Comm6,Comm2,438
Comm7,Comm2,42
Comm8,Comm2,78
Comm2,Comm3,1
Comm3,Comm3,1168
Comm4,Comm3,14
Comm5,Comm3,1
Comm6,Comm3,23
Comm7,Comm3,1
Comm8,Comm3,7
Comm1,Comm4,26
Comm2,Comm4,65
Comm3,Comm4,3
Comm4,Comm4,4347
Comm5,Comm4,54
Comm6,Comm4,206
Comm7,Comm4,686
Comm8,Comm4,1018
Comm1,Comm5,5
Comm2,Comm5,152
Comm3,Comm5,10
Comm4,Comm5,121
Comm5,Comm5,715
Comm6,Comm5,254
Comm7,Comm5,42
Comm8,Comm5,128
Comm1,Comm6,103
Comm2,Comm6,870
Comm3,Comm6,227
Comm4,Comm6,815
Comm5,Comm6,286
Comm6,Comm6,8448
Comm7,Comm6,186
Comm8,Comm6,871
Comm2,Comm7,7
Comm4,Comm7,948
Comm5,Comm7,48
Comm6,Comm7,215
Comm7,Comm7,4617
Comm8,Comm7,1011
Comm1,Comm8,2
Comm2,Comm8,16
Comm3,Comm8,21
Comm4,Comm8,1142
Comm5,Comm8,91
Comm6,Comm8,518
Comm7,Comm8,706
Comm8,Comm8,9439
