neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ASIL,sensory,GS,-0.788245301545713,0.188365650969529,2
ASIR,sensory,GS,-1.03053726450954,0.497448979591837,2
ASJL,sensory,GS,-0.989870896718489,0.452662721893491,2
ASJR,sensory,GS,-1.09585876393546,0.437777777777778,2
AWAL,sensory,GS,-0.224554020304831,0,1
AWAR,sensory,GS,-0.334160658323891,0.119808,2
ASGL,sensory,GS,-0.422889841482178,0,1
ASGR,sensory,GS,-0.0962589752563854,0,1
AWBL,sensory,GS,-0.626445026374719,0,1
AWBR,sensory,GS,-0.527277115786045,0,1
ASEL,sensory,GS,-0.7203935732482,0.04875,1
ASER,sensory,GS,-0.917291411266732,0.4488,2
ADFL,sensory,GS,-0.0784118362794165,0,1
ADFR,sensory,GS,-0.182799110583284,0.0425330812854442,1
AFDL,sensory,GS,-0.402012386621405,0,1
AFDR,sensory,GS,-0.558593298077205,0,1
AWCL,sensory,GS,-0.553373934362012,0,1
AWCR,sensory,GS,-0.73605166439378,0.347800237812128,2
ASKL,sensory,GS,-0.725612936963393,0.362308254200146,2
ASKR,sensory,GS,-0.407685071674103,0.362314049586777,2
ASHL,sensory,GS,-0.495960933494885,0.451477148388183,2
ASHR,sensory,GS,-0.336906413397349,0.438522516444594,2
ADLL,sensory,GS,-0.87482421630068,0.70257083880653,3
ADLR,sensory,GS,0.639839070821856,0.485390625,2
BAGL,sensory,GS,-0.250650838880797,0.0399833402748855,1
URXL,sensory,GS,-0.887413212134387,0.277777777777778,2
URXR,sensory,GS,-0.516838388355659,0.0289792387543253,1
ALNL,sensory,GS,-0.626445026374719,0.0634238108035474,2
ALNR,sensory,GS,-0.86131639355842,0,1
PLNL,sensory,GS,-0.485522206064498,0,1
PLNR,sensory,GS,-0.683858027241846,0.095,2
SDQL,interneuron,GS,-0.78302593783052,0,1
SDQR,interneuron,GS,-0.30138057809167,0.604176097781802,2
AQR,sensory,GS,-0.582949024145098,0.56689453125,2
PQR,sensory,GS,0.178046775999302,0.585896684830149,2
ALML,sensory,GS,-0.426944885115496,0.604646603274189,2
ALMR,sensory,GS,-0.343235347099612,0.559755545495699,2
AVM,sensory,GS,0.0753123429798079,0.29843222692127,2
PVM,sensory,GS,-0.463020142784681,0.185,2
PLML,sensory,GS,0.3561693406036,0.4691162109375,2
PLMR,sensory,GS,0.30274393951306,0.4225,2
FLPL,sensory,GS,-0.354650284101778,0.541906056751897,2
FLPR,sensory,GS,-0.575339066143654,0.454504300588502,2
DVA,interneuron,GS,1.2465926921126,0.688300510014003,3
PVDL,sensory,GS,-0.577350269189626,0.468731097961867,2
PVDR,sensory,GS,-0.577350269189626,0.468247596559285,2
ADEL,sensory,GS,-0.824780847552067,0.570037858301785,2
ADER,sensory,GS,-0.86131639355842,0.459183673469388,2
PDEL,sensory,GS,1.30001809320314,0.192425990003845,2
PDER,sensory,GS,1.3356350272635,0.349940828402367,2
PHAL,sensory,GS,0.705934978753028,0.567784834622388,2
PHAR,sensory,GS,1.55383791648879,0.47788277532219,2
PHBL,sensory,GS,-0.226758252756307,0.494883720930233,2
PHBR,sensory,GS,0.165396855946482,0.552391554151106,2
PHCL,sensory,GS,1.74702381702393,0.154391058208739,2
PHCR,sensory,GS,1.78708412169642,0.105849133642726,2
IL2DL,sensory,GS,-0.803903392691293,0,1
IL2DR,sensory,GS,-0.694296754672233,0,1
IL2L,sensory,GS,0.135582076043511,0,1
IL2R,sensory,GS,-0.172360383152897,0,1
IL2VL,sensory,GS,-0.355038113184664,0,1
IL2VR,sensory,GS,-0.323721930893504,0,1
CEPDL,sensory,GS,-0.0784118362794165,0.0185169010393921,1
CEPDR,sensory,GS,0.0311948017396441,0,1
CEPVL,sensory,GS,0.323479169790472,0.0108104914933838,1
CEPVR,sensory,GS,0.876731723600968,0.0493763262771079,1
URYDR,sensory,GS,-0.866535757273614,0.489795918367347,2
URYVL,sensory,GS,-0.965703667862287,0,1
URYVR,sensory,GS,-0.723733247171812,0,1
OLLL,sensory,GS,0.323479169790472,0,1
OLLR,sensory,GS,0.49049880867666,0.0197024826118165,1
OLQDL,sensory,GS,-0.17757974686809,0,1
OLQDR,sensory,GS,0.00509798316367726,0,1
OLQVL,sensory,GS,0.0625109840308042,0,1
OLQVR,sensory,GS,0.255627441492958,0.0168055156564205,1
IL1DL,sensory,GS,-0.642103117520299,0,1
IL1DR,sensory,GS,-0.584690116653172,0,1
IL1L,sensory,GS,-0.459425387488532,0,1
IL1R,sensory,GS,-0.224554020304831,0,1
IL1VL,sensory,GS,0.239969350347378,0.0336979591836735,1
IL1VR,sensory,GS,0.151240167189091,0,1
