neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ASIL,sensory,GS,-0.565984967159771,0,1
ASIR,sensory,GS,-0.161709990617077,0.46,2
ASJL,sensory,GS,-0.80082476798146,0,1
ASJR,sensory,GS,-0.835501618188234,0,1
AWAL,sensory,GS,0.512081636954079,0.142011834319527,2
AWAR,sensory,GS,-0.43122664164554,0,1
ASGL,sensory,GS,-0.83296824071001,0,1
ASGR,sensory,GS,0,0,1
AWBL,sensory,GS,-1.11052620736598,0,1
AWBR,sensory,GS,0,0,1
ASEL,sensory,GS,-0.977200749269684,0,1
ASER,sensory,GS,0,0,1
ADFL,sensory,GS,-0.296468316131309,0,1
ADFR,sensory,GS,-0.650157863014644,0,1
AFDL,sensory,GS,-0.75995273392109,0,1
AFDR,sensory,GS,-0.540362992108197,0,1
AWCL,sensory,GS,0,0,1
AWCR,sensory,GS,0,0,1
ASKL,sensory,GS,-0.773141792482219,0.497777777777778,2
ASKR,sensory,GS,-0.813026091300746,0.544378698224852,2
ASHL,sensory,GS,-0.742294821602705,0,1
ASHR,sensory,GS,0,0,1
ADLL,sensory,GS,-0.265875814842081,0,1
ADLR,sensory,GS,-0.156080943935635,0,1
BAGL,sensory,GS,-0.210978379388858,0,1
URXL,sensory,GS,-0.881289146212449,0.32,2
URXR,sensory,GS,-0.430568121201751,0.152777777777778,2
ALNL,sensory,GS,0,0,1
ALNR,sensory,GS,0,0,1
PLNL,sensory,GS,0,0,1
PLNR,sensory,GS,-0.955153751608656,0,1
SDQL,interneuron,GS,0,0,1
SDQR,interneuron,GS,0.606494196036531,0.213039485766758,2
AQR,sensory,GS,-0.781959430390636,0.59504132231405,2
PQR,sensory,GS,0.940888047239755,0.550475328202807,2
ALML,sensory,GS,0.124451985477571,0,1
ALMR,sensory,GS,0.0585656402247394,0,1
AVM,sensory,GS,1.90338330730403,0.428061831153389,2
PVM,sensory,GS,-0.364638689678586,0.302021403091558,2
PLML,sensory,GS,0.45388371174173,0.573727810650888,2
PLMR,sensory,GS,0.387997366488898,0.445213379469435,2
FLPL,sensory,GS,-0.59526042756142,0.473372781065089,2
FLPR,sensory,GS,0,0,1
DVA,interneuron,GS,0.82120309944421,0.63423517169615,3
PVDL,sensory,GS,-0.577350269189626,0.0669250043703747,2
PVDR,sensory,GS,-0.577350269189626,0.094352422409407,2
ADEL,sensory,GS,0,0,1
ADER,sensory,GS,-0.979542475733983,0,1
PDEL,sensory,GS,0.324804210974202,0.274078478002378,2
PDER,sensory,GS,0.269648778921979,0.479839607930497,2
PHAL,sensory,GS,0.802288010849604,0.390011890606421,2
PHAR,sensory,GS,1.91904837776837,0.2484410430839,2
PHBL,sensory,GS,-0.0153401149302027,0.0399833402748855,1
PHBR,sensory,GS,0.303734275618015,0.423305588585018,2
PHCL,sensory,GS,-0.460683407510515,0.173828125,2
PHCR,sensory,GS,-0.486233915826224,0.181061394380853,2
IL2DL,sensory,GS,-1.03411385364813,0,1
IL2DR,sensory,GS,-0.75995273392109,0,1
IL2L,sensory,GS,1.41108146532282,0.104938271604938,2
IL2R,sensory,GS,-0.705055298467867,0,1
IL2VL,sensory,GS,-1.11052620736598,0.5,2
IL2VR,sensory,GS,0,0,1
CEPDL,sensory,GS,-0.652052085058922,0.21875,2
CEPDR,sensory,GS,0.0635087978772582,0.090702947845805,2
CEPVL,sensory,GS,1.54573955511428,0.0407986111111112,1
CEPVR,sensory,GS,1.32614981330139,0.0444214876033058,1
URYDR,sensory,GS,-0.463922485183564,0.489795918367347,2
URYVL,sensory,GS,0,0,1
URYVR,sensory,GS,-0.512446865567265,0,1
OLLL,sensory,GS,2.03981647419329,0.0665873959571938,2
OLLR,sensory,GS,1.76532929692718,0.0726237095051619,2
OLQDL,sensory,GS,-0.101183508482411,0.104938271604938,2
OLQDR,sensory,GS,-0.540362992108197,0.42603550295858,2
OLQVL,sensory,GS,0.00861136242403498,0.329861111111111,2
OLQVR,sensory,GS,0.228201104236928,0.0798611111111112,2
IL1DL,sensory,GS,0,0,1
IL1DR,sensory,GS,-0.575639731341079,0.197530864197531,2
IL1L,sensory,GS,0.264896159555187,0,1
IL1R,sensory,GS,0.570545574426557,0,1
IL1VL,sensory,GS,1.25825675788714,0.156734693877551,2
IL1VR,sensory,GS,1.94596794134772,0.161975308641975,2
AINL,interneuron,GS,0,0,1
AINR,interneuron,GS,-0.952621137165591,0,1
AIML,interneuron,GS,-0.773141792482219,0,1
AIMR,interneuron,GS,-0.700743292674002,0.375,2
RIH,interneuron,GS,1.71043186147395,0,1
