cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,1,1,2,4,4,8,0,0,0,0,Inf,0,0,0,0
ASIR,sensory,GS,5,5,10,10,10,20,2304,0.0181285997545085,2506.52648098888,0.0197221420780921,Inf,0.0004,0.1,0.0004,0.1
ASJL,sensory,GS,2,2,4,9,9,18,642,0.0050514587857615,642,0.0050514587857615,Inf,0,0,0,0
ASJR,sensory,GS,1,1,2,2,2,4,0,0,0,0,Inf,0,0,0,0
AWAL,sensory,GS,2,2,4,13,13,26,1032,0.00812010197337362,278.518519596082,0.00219147168662136,Inf,0,0,0,0
AWAR,sensory,GS,1,1,2,5,5,10,0,0,0,0,Inf,0,0,0,0
ASGL,sensory,GS,2,2,4,7,7,14,642,0.0050514587857615,642,0.0050514587857615,Inf,0,0,0,0
ASGR,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
AWBL,sensory,GS,1,1,2,1,1,2,0,0,0,0,Inf,Inf,Inf,0,0
AWBR,sensory,GS,1,1,2,3,3,6,0,0,0,0,Inf,0,0,0,0
ASEL,sensory,GS,1,1,2,1,1,2,0,0,0,0,Inf,0,0,0,0
ASER,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
ADFL,sensory,GS,2,2,4,6,6,12,16,0.000125893053850754,151.602359445757,0.00119285525010038,Inf,0,0,0,0
ADFR,sensory,GS,3,3,6,7,7,14,1886,0.0148396437226576,799.657415921102,0.00629195713279437,Inf,0,0,0,0
AFDL,sensory,GS,1,1,2,5,5,10,0,0,0,0,Inf,0,0,0,0
AFDR,sensory,GS,3,3,6,9,9,18,646,0.00508293204922418,745.921826197291,0.00586914853961926,Inf,0,0,0,0
AWCL,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
AWCR,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
ASKL,sensory,GS,5,5,10,15,15,30,1956,0.0153904258332547,3169.12983088756,0.0249357145287474,Inf,0.000416016764610381,0.05,0,0
ASKR,sensory,GS,5,5,10,13,13,26,2920,0.0229754823277626,3503.83867332335,0.0275693094240656,Inf,0.0004,0.1,0.0004,0.1
ASHL,sensory,GS,1,1,2,9,9,18,0,0,0,0,Inf,0,0,0,0
ASHR,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
ADLL,sensory,GS,1,1,2,14,14,28,0,0,0,0,Inf,0,0,0,0
ADLR,sensory,GS,2,2,4,16,16,32,642,0.0050514587857615,642,0.0050514587857615,Inf,0,0,0,0
BAGL,sensory,GS,1,1,2,15,15,30,0,0,0,0,Inf,0,0,0,0
URXL,sensory,GS,4,4,8,5,5,10,72,0.000566518742328392,1496.59955187596,0.0117757179985834,Inf,0.00154474706188809,0.25,0.00121141372855476,0.166666666666667
URXR,sensory,GS,5,5,10,12,12,24,1298,0.0102130739936424,1640.88056177765,0.0129109665579081,Inf,0.000576899828122964,0.1,0.000576899828122964,0.1
ALNL,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
ALNR,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
PLNL,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
PLNR,sensory,GS,1,1,2,2,2,4,0,0,0,0,Inf,0,0,0,0
SDQL,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
SDQR,sensory,GS,3,3,6,33,33,66,314,0.00247065118182104,110.775071882465,0.000871613255613772,Inf,0.0244189341675835,0.666666666666667,0.0280727619640383,0.833333333333333
AQR,sensory,GS,3,3,6,11,11,22,0,0,3.92064961182608,3.08489095444724e-05,Inf,0.0119161346558204,0.666666666666667,0.0146704804433075,0.833333333333333
PQR,sensory,GS,21,21,42,141,141,282,3508,0.0276020520567778,2879.96139418405,0.0226604459303815,Inf,0.00470394212554536,0.202380952380952,0.00860145941001956,0.414285714285714
ALML,sensory,GS,2,2,4,33,33,66,16,0.000125893053850754,4.23701668323434,3.33381855918101e-05,Inf,0,0,0,0
ALMR,sensory,GS,2,2,4,32,32,64,0,0,4.23701668323434,3.33381855918101e-05,Inf,0,0,0,0
AVM,sensory,GS,4,4,8,87,87,174,1274,0.0100242344128663,157.673883840427,0.00124062792182377,Inf,0.00421090639843759,0.166666666666667,0.00421090639843759,0.166666666666667
PVM,sensory,GS,9,9,18,29,29,58,0,0,190.10561958801,0.00149581106275777,Inf,0.00589222995382441,0.513888888888889,0.00852517358890251,0.648809523809524
PLML,sensory,GS,13,13,26,65,65,130,2828,0.0222515972681207,1826.55466164505,0.0143719090237391,Inf,0.00469053629894808,0.243589743589744,0.0078734575455246,0.440720390720391
PLMR,sensory,GS,11,11,22,51,51,102,1286,0.0101186542032543,1145.34703269261,0.00901195222903571,Inf,0.00221238715692242,0.172727272727273,0.00438210136141531,0.310606060606061
FLPL,sensory,GS,3,3,6,13,13,26,256,0.00201428886161206,404.435547006975,0.00318222663115676,Inf,0.00548658247846348,0.384615384615385,0.00548658247846349,0.384615384615385
FLPR,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
DVA,sensory,GS,23,23,46,124,124,248,10089,0.0793834387687659,1842.6445328041,0.0144985092122565,Inf,0.00417448883423541,0.225296442687747,0.0089795269746919,0.549736495388669
PVDL,sensory,GS,7,7,14,262,262,524,0,0,1058.90776460725,0.0083318207645426,Inf,0.0147916587931802,0.380952380952381,0.0218885538085954,0.611111111111111
PVDR,sensory,GS,8,8,16,266,266,532,2086,0.016413306895792,1270.89537306208,0.00999980622747365,Inf,0.00993909668315511,0.142857142857143,0.012367572316011,0.19047619047619
ADEL,sensory,GS,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0
ADER,sensory,GS,1,1,2,1,1,2,0,0,0,0,Inf,0,0,0,0
PDEL,sensory,GS,10,10,20,58,58,116,318,0.00250212444528373,290.496543727535,0.00228571856393427,Inf,0.00745302166006828,0.411111111111111,0.011250191568016,0.685185185185185
PDER,sensory,GS,12,12,24,67,67,134,1444,0.0113618481100305,486.15425225136,0.00382521521615334,Inf,0.00477928957570521,0.265151515151515,0.00815252210141451,0.543939393939394
PHAL,sensory,GS,12,12,24,116,116,232,1654,0.0130141944418217,1108.5879096692,0.00872271983814248,Inf,0.00222431187933031,0.121212121212121,0.00264670448244825,0.156565656565657
PHAR,sensory,GS,11,11,22,168,168,336,4169,0.032803008843987,411.185661486325,0.00323533866400973,Inf,0.00771995321456045,0.245454545454545,0.013657825492256,0.472424242424243
PHBL,sensory,GS,3,3,6,49,49,98,0,0,7.0449318646066,5.54317491628631e-05,Inf,0.0039499947578765,0.333333333333333,0.0039499947578765,0.333333333333333
PHBR,sensory,GS,8,8,16,87,87,174,988,0.00777389607528405,117.827641899957,0.000927105104176167,Inf,0.0108018106451217,0.321428571428571,0.0143703161378013,0.446428571428571
PHCL,sensory,GS,7,7,14,32,32,64,49,0.000385547477417933,178.085110903174,0.00140122990355942,Inf,0.00340798519012323,0.19047619047619,0.00595575064234903,0.317460317460317
PHCR,sensory,GS,8,8,16,31,31,62,832,0.0065464388002392,307.657469470335,0.00242074614822597,Inf,0.00254863648862337,0.160714285714286,0.00378151347852602,0.238095238095238
IL2DL,sensory,GS,1,1,2,2,2,4,0,0,0,0,Inf,0,0,0,0
IL2DR,sensory,GS,2,2,4,5,5,10,642,0.0050514587857615,642,0.0050514587857615,Inf,0,0,0,0
