,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
0,ADAL,interneuron,GS,15,21,36,34,91,125,27.0,0.0008474044316113,252.946055276976,0.0079388003037152,1.29444444444444,0.012773403647522,0.25400641025641,0.0225746562809926,0.45064448441247,ADA,Interneuron,GS,14,14,28,25,54,79,300.0,0.0094156047956813,487.112800762432,0.0152882054096551,inf,0.0062586229668618,0.13262599469496,0.0110104395866835,0.260035366931919
1,ADAR,interneuron,GS,16,18,34,46,97,143,1270.0,0.0398593936350512,273.778816163816,0.0085926437814266,1.275,0.01122665073924,0.201077199281867,0.0244367748542533,0.479787552363854,ADA,Interneuron,GS,11,11,22,17,51,68,285.5,0.0089605172305567,130.154181210723,0.0040849344426189,inf,0.0061632041039396,0.128260869565217,0.0090902772886867,0.195471014492754
2,ADEL,sensory,GS,8,35,43,48,129,177,833.0,0.0261439959826753,476.654025574726,0.0149599530969407,1.36111111111111,0.0087091010318155,0.177455357142857,0.024334890212949,0.431794781794782,ADE,Modulatory neuron,GS,6,25,31,9,57,66,410.5,0.012883685895424,459.327918789175,0.014416167183139,inf,0.0044785783884192,0.107142857142857,0.0117671030762453,0.302984428390273
3,ADER,sensory,GS,11,25,36,36,85,121,517.5,0.0162419182725504,465.048936294529,0.0145957233160043,1.3952380952381,0.0097703278970618,0.202093397745572,0.0212585916491181,0.474559082892416,ADE,Modulatory neuron,GS,6,29,35,12,62,74,579.5,0.0181878099303245,797.947911638455,0.0250438739450899,inf,0.0043635082925385,0.102542372881356,0.0098521630216111,0.237683615819209
4,ADFL,sensory,GS,10,20,30,42,136,178,535.0,0.0167911618856318,212.156138066543,0.0066585945033752,1.23754578754579,0.0164439827210614,0.279205607476636,0.0302605867629425,0.577239096573209,ADF,Sensory neuron,GS,7,15,22,20,57,77,100.0,0.0031385349318937,169.187833763816,0.0053100192631917,inf,0.0162015959416704,0.277533039647577,0.0263317775702557,0.495961820851689
5,ADFR,sensory,GS,17,22,39,48,202,250,452.0,0.0141861778921599,463.669736199872,0.0145524366392528,1.26477212506624,0.0188530245449285,0.312242090784044,0.0350045635476369,0.55121235324145,ADF,Sensory neuron,GS,6,11,17,18,45,63,138.0,0.0043311782060134,92.2264650683493,0.0028945598226209,inf,0.0160456195634073,0.24812030075188,0.0257728443571058,0.43890977443609
6,ADLL,sensory,GS,9,24,33,19,148,167,339.5,0.0106553260937794,292.358026588237,0.0091757587906671,1.26465201465201,0.0132222560900093,0.212237093690249,0.026833908577883,0.499888463989803,ADL,Sensory neuron,GS,10,21,31,18,98,116,1710.5,0.0536846400100433,659.020408177317,0.0206835857189542,inf,0.0113039748397228,0.186274509803922,0.0206336911255254,0.406517792302106
7,ADLR,sensory,GS,17,26,43,52,155,207,409.0,0.0128366078714456,504.71004931697,0.0158405012025915,1.24164696611505,0.0153487709767066,0.265432098765432,0.0310182655668213,0.499701277297075,ADL,Sensory neuron,GS,6,16,22,13,72,85,405.5,0.0127267591488293,175.987439856973,0.0055234272756566,inf,0.0130652882633035,0.177631578947368,0.0200662789772024,0.30109649122807
8,AFDL,sensory,GS,10,7,17,28,36,64,243.0,0.0076266398845019,96.9791180059461,0.0030437234952591,1.26683013503909,0.0195320932963721,0.481060606060606,0.0293580081250813,0.527777777777778,AFD,Sensory neuron,GS,6,6,12,19,15,34,74.0,0.0023225158496014,45.4865610295732,0.0014276116072303,inf,0.0143573293736186,0.285714285714286,0.0252898013315838,0.561111111111111
9,AFDR,sensory,GS,9,4,13,46,35,81,169.0,0.0053041240349005,22.6331771200271,0.0007103501701094,1.28651357094562,0.0253157787224627,0.46,0.0354200281131342,0.679333333333333,AFD,Sensory neuron,GS,8,2,10,22,12,34,63.0,0.001977277007093,2.75179971988795,8.6366195464439e-05,inf,0.0214249052650846,0.375,0.0277480342356211,0.513257575757576
