Neuron,Type,Sex,indegree,outdegree,degree,instrength,outstrength,strength
AVAR,interneuron,Shared,89,70,159,935,542,1477
AVAL,interneuron,Shared,90,58,148,894,485,1379
AVBR,interneuron,Shared,67,43,110,462,183,645
AVBL,interneuron,Shared,65,44,109,470,197,667
DVA,sensory,Shared,42,59,101,234,246,480
PVCR,interneuron,Shared,45,52,97,477,388,865
PVCL,interneuron,Shared,46,50,96,448,322,770
AVDR,interneuron,Shared,50,41,91,293,211,504
AVEL,interneuron,Shared,54,35,89,343,163,506
AVER,interneuron,Shared,53,36,89,347,185,532
AVDL,interneuron,Shared,43,36,79,316,191,507
PVT,interneuron,Shared,40,37,77,176,186,362
PVR,interneuron,Shared,31,44,75,198,303,501
PVPL,interneuron,Shared,36,37,73,235,254,489
AIBR,interneuron,Shared,38,35,73,321,164,485
PVNR,interneuron,Shared,30,40,70,88,117,205
AIBL,interneuron,Shared,38,31,69,286,198,484
PVPR,interneuron,Shared,32,35,67,243,290,533
AVKL,interneuron,Shared,30,37,67,173,117,290
RIAR,interneuron,Shared,39,28,67,421,457,878
RIAL,interneuron,Shared,37,29,66,442,408,850
RIBR,interneuron,Shared,34,31,65,285,120,405
AVJL,interneuron,Shared,37,27,64,188,125,313
AVHR,interneuron,Shared,31,32,63,131,151,282
RIBL,interneuron,Shared,35,28,63,271,135,406
AVHL,interneuron,Shared,28,34,62,120,131,251
DVC,interneuron,Shared,29,32,61,183,252,435
RIML,interneuron,Shared,32,29,61,259,226,485
HSNR,motorneuron,Hermaphrodite-specific,22,39,61,62,79,141
