Neuron,Community
ADFL,4
ADFR,5
ADLL,5
ADLR,5
AFDL,5
AFDR,5
ALML,2
ALMR,2
ALNL,4
ALNR,4
AQR,2
ASEL,5
ASER,5
ASGL,5
ASGR,5
ASHL,5
ASHR,2
ASIL,5
ASIR,5
ASJL,5
ASJR,5
ASKL,5
ASKR,5
AUAL,3
AUAR,3
AVM,2
AWAL,5
AWAR,5
AWBL,4
AWBR,5
AWCL,5
AWCR,5
BAGL,3
BAGR,3
DVA,3
FLPL,4
FLPR,4
IL2DL,1
IL2DR,1
IL2L,1
IL2R,1
IL2VL,1
IL2VR,1
OLLL,3
OLLR,3
OLQDL,1
OLQDR,1
OLQVL,1
OLQVR,1
PLNL,4
PLNR,4
SAADL,4
SAADR,4
SAAVL,4
SAAVR,4
SDQL,2
SDQR,2
URBL,3
URBR,3
URXL,3
URXR,3
URYDL,6
URYDR,6
URYVL,6
URYVR,6
ADAL,2
ADAR,2
AIAL,5
AIAR,5
AIBL,5
AIBR,4
AINL,3
AINR,3
AIYL,5
AIYR,5
AIZL,4
AIZR,5
AVAL,4
AVAR,4
AVBL,2
AVBR,2
AVDL,2
AVDR,5
AVEL,3
AVER,3
AVJL,2
AVJR,2
BDUL,2
BDUR,2
PVCL,2
PVCR,2
PVPL,2
PVPR,2
PVR,1
PVT,3
RIAL,6
RIAR,6
RIBL,3
RIBR,3
RIFL,2
RIFR,2
RIGL,3
RIGR,3
RIH,1
RIML,4
RIMR,4
RIPL,1
RIPR,1
RIR,3
IL1DL,6
IL1DR,1
IL1L,6
IL1R,6
IL1VL,1
IL1VR,1
RIVL,6
RIVR,6
RMDDL,6
RMDDR,6
RMDL,6
RMDR,6
RMDVL,6
RMDVR,6
RMED,6
RMEL,1
RMER,1
RMEV,1
RMFL,3
RMFR,3
RMHL,3
RMHR,3
SIADL,6
SIADR,6
SIAVL,6
SIAVR,6
SIBDL,1
SIBDR,1
SIBVL,1
SIBVR,1
SMBDL,4
SMBDR,5
SMBVL,4
SMBVR,5
SMDDL,6
SMDDR,6
SMDVL,6
SMDVR,6
URADL,1
URADR,1
URAVL,1
URAVR,1
ADEL,3
ADER,3
AIML,5
AIMR,5
ALA,3
AVFL,2
AVFR,2
AVHL,2
AVHR,2
AVKL,3
AVKR,3
AVL,3
CEPDL,3
CEPDR,3
CEPVL,3
CEPVR,3
DVC,3
HSNL,5
HSNR,5
PVNL,5
PVNR,2
PVQL,5
PVQR,5
RICL,3
RICR,3
RID,2
RIS,3
RMGL,6
RMGR,6
