Source,Target,Weight
Comm1,Comm1,385
Comm2,Comm1,20
Comm3,Comm1,99
Comm4,Comm1,10
Comm5,Comm1,8
Comm6,Comm1,32
Comm1,Comm2,29
Comm2,Comm2,450
Comm3,Comm2,80
Comm4,Comm2,56
Comm5,Comm2,111
Comm6,Comm2,23
Comm1,Comm3,56
Comm2,Comm3,91
Comm3,Comm3,1073
Comm4,Comm3,85
Comm5,Comm3,76
Comm6,Comm3,77
Comm1,Comm4,7
Comm2,Comm4,97
Comm3,Comm4,229
Comm4,Comm4,421
Comm5,Comm4,197
Comm6,Comm4,23
Comm1,Comm5,8
Comm2,Comm5,77
Comm3,Comm5,99
Comm4,Comm5,53
Comm5,Comm5,913
Comm6,Comm5,9
Comm1,Comm6,107
Comm2,Comm6,32
Comm3,Comm6,414
Comm4,Comm6,152
Comm5,Comm6,75
Comm6,Comm6,913
