cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ADF,Sensory neuron,GS,ADFL,5,20,25,18,54,72,229,0.00718724499403678,208.053737732638,0.00652983923584954,2.78333333333333,0.0155521675938936,0.175675675675676,0.0307487206380102,0.380996621621622
ADF,Sensory neuron,GS,ADFR,7,11,18,22,59,81,196.5,0.0061672211411713,153.12868977116,0.00480599741921914,2.78333333333333,0.027513658102592,0.205298013245033,0.0430012133024883,0.363520971302428
ADL,Sensory neuron,GS,ADLL,8,19,27,11,64,75,191.5,0.00601029439457661,272.545545310696,0.00855393714489663,2.54090909090909,0.0164583777575951,0.184971098265896,0.0273526193683776,0.352769749518304
ADL,Sensory neuron,GS,ADLR,2,14,16,4,56,60,111,0.00348377377440211,36.6539885070842,0.00115039823322717,2.69166666666667,0.0211066658119069,0.15546218487395,0.0273168940269976,0.217787114845938
AFD,Sensory neuron,GS,AFDL,7,3,10,21,14,35,37,0.0011612579248007,21.0490868121673,0.00066063294244452,2.88333333333333,0.0307742375739342,0.337209302325581,0.0385543674145735,0.414728682170543
AFD,Sensory neuron,GS,AFDR,6,2,8,16,15,31,89,0.00279329608938547,11.2823206823646,0.000354099575744291,2.82142857142857,0.0473744429242959,0.5,0.0654336686458586,0.717948717948718
ALM,Sensory neuron,GS,ALML,4,9,13,5,26,31,64.5833333333333,0.00202697047684807,125.237149846124,0.00393061169562879,3.1,0.0105584417300488,0.190789473684211,0.0132483329817036,0.239583333333333
ALM,Sensory neuron,GS,ALMR,7,9,16,12,26,38,622.083333333333,0.019524302722156,310.074768466092,0.0097318049232971,3.26709956709957,0.00888909105800794,0.123931623931624,0.0126918472544147,0.179202279202279
ALN,Sensory neuron,GS,ALNL,3,6,9,5,19,24,0,0,60.8733182993034,0.00191053035902653,3.53651903651904,0.018788073845607,0.257142857142857,0.0245942599521303,0.335714285714286
ALN,Sensory neuron,GS,ALNR,3,9,12,5,23,28,0,0,73.649453758014,0.00231151383334423,3.40993173493173,0.00788152413862389,0.09375,0.010581362641962,0.129557291666667
AQR,Sensory neuron,GS,AQR,11,17,28,19,54,73,296.833333333333,0.0093162178561714,338.486334900753,0.0106235118605472,3.08257575757576,0.0149985430137473,0.18230563002681,0.0258411408836843,0.349495723222265
ASE,Sensory neuron,GS,ASEL,9,12,21,18,60,78,225,0.00706170359676103,293.707080838987,0.00921809932957714,2.45,0.0255176732687751,0.240291262135922,0.0460184044461723,0.460881877022654
ASE,Sensory neuron,GS,ASER,14,18,32,31,68,99,815.5,0.0255947523695939,737.828349451357,0.0231570004849462,2.5,0.0233291387502725,0.280287474332649,0.0446965389049232,0.435948477751756
ASG,Sensory neuron,GS,ASGL,5,3,8,11,15,26,0,0,17.1740265995751,0.000539012824040397,2.78333333333333,0.0457068662124271,0.480769230769231,0.0590201630128241,0.647435897435897
ASG,Sensory neuron,GS,ASGR,5,4,9,13,25,38,0,0,17.5474531591559,0.00055073294705781,2.6421568627451,0.0432297784272929,0.338235294117647,0.0440229506292009,0.323529411764706
ASH,Sensory neuron,GS,ASHL,7,21,28,16,77,93,391,0.0122716715837047,169.535302102312,0.00532092467837272,2.66154401154401,0.0213789172342592,0.268716577540107,0.0360268061717936,0.404813664596273
ASH,Sensory neuron,GS,ASHR,10,17,27,16,73,89,313.416666666667,0.00983669156571046,450.435163859962,0.0141370649632779,2.53449883449883,0.0159639973065939,0.197406340057637,0.031485567689428,0.424351585014409
ASI,Sensory neuron,GS,ASIL,2,10,12,3,32,35,0,0,54.3798984015184,0.00170673210726001,2.7,0.0358226002131064,0.315384615384615,0.0479585009424723,0.453205128205128
ASI,Sensory neuron,GS,ASIR,2,8,10,2,41,43,0,0,8.33292121199958,0.000261531643085794,2.76666666666667,0.0492273123100107,0.363636363636364,0.0658759976186574,0.516098484848485
ASJ,Sensory neuron,GS,ASJL,5,5,10,6,15,21,137,0.0042997928566945,117.693834779859,0.00369386211725124,2.63578643578644,0.0172191694724798,0.290697674418605,0.0280857227319403,0.465697674418605
ASJ,Sensory neuron,GS,ASJR,1,4,5,1,25,26,0,0,0,0,2.59090909090909,0.0506153703223046,0.555555555555556,0.0541611397191065,0.611111111111111
ASK,Sensory neuron,GS,ASKL,9,8,17,17,44,61,746.166666666667,0.0234187014834808,288.189005117631,0.00904491259549404,2.48138528138528,0.0291516841464526,0.285714285714286,0.0418463535453352,0.464285714285714
ASK,Sensory neuron,GS,ASKR,7,11,18,25,41,66,743.333333333333,0.0233297763270772,115.282412623964,0.00361817879053304,2.51020733652313,0.0252285273136599,0.263333333333333,0.0369205213375227,0.401388888888889
AUA,Sensory neuron,GS,AUAL,7,7,14,35,60,95,211,0.0066223087062959,35.7164033321141,0.00112097179499448,3.04781052281052,0.035207097615891,0.202247191011236,0.0448974328787543,0.267322097378277
AUA,Sensory neuron,GS,AUAR,11,6,17,42,54,96,63,0.00197727700709309,43.8114723113851,0.0013750383626698,3.13852813852814,0.0254981049802995,0.183823529411765,0.0358512062157251,0.316850490196078
AVM,Sensory neuron,GS,AVM,7,10,17,7,42,49,195.25,0.00612798945452263,198.515444437872,0.00623047656888682,3.26709956709957,0.0189809482736797,0.235074626865672,0.0272587127848114,0.372512437810945
AWA,Sensory neuron,GS,AWAL,6,13,19,8,41,49,256,0.00803464942564811,137.601264357351,0.00431866374858297,2.61590909090909,0.0218979026373964,0.294642857142857,0.0392398911171646,0.513839285714286
AWA,Sensory neuron,GS,AWAR,6,12,18,8,43,51,106,0.00332684702780742,95.0243073614425,0.002982371080329,2.7,0.021812973645819,0.246666666666667,0.0428046615468092,0.519888888888889
AWB,Sensory neuron,GS,AWBL,10,9,19,17,26,43,172.666666666667,0.00541920364906995,123.417154053902,0.00387349049193089,2.84285714285714,0.0174888765058766,0.242603550295858,0.0315329445524941,0.46474358974359
AWB,Sensory neuron,GS,AWBR,5,10,15,15,28,43,72,0.00225974515096353,84.5654681756256,0.00265411675901154,2.76666666666667,0.0203489131564035,0.189320388349515,0.0311211279698855,0.319174757281553
AWC,Sensory neuron,GS,AWCL,11,9,20,60,42,102,2331.83333333333,0.0731854037202101,141.096253200093,0.00442835519427822,2.69444444444444,0.0477186794354902,0.345108695652174,0.0711421097700411,0.527038043478261
AWC,Sensory neuron,GS,AWCR,6,16,22,36,67,103,1399,0.0439081036971941,172.07595192293,0.00540066386048993,2.7,0.0322917900352062,0.234649122807018,0.0546699739539301,0.430691311612364
BAG,Sensory neuron,GS,BAGL,11,7,18,38,36,74,1213,0.0380704287238717,101.950312152706,0.00319974616008745,3.05,0.0258855994234644,0.228476821192053,0.0410326629139331,0.399944812362031
BAG,Sensory neuron,GS,BAGR,14,13,27,42,57,99,3483.33333333333,0.109325633460967,417.194046427994,0.0130937808809238,2.87735597735598,0.0166045902085854,0.160919540229885,0.0332165613340948,0.351388888888889
DVA,Modulatory neuron,GS,DVA,15,28,43,26,68,94,966.333333333333,0.0303287092252003,1076.81154182997,0.0337961063909976,2.88376623376623,0.0103562893859745,0.142538975501114,0.02602465433101,0.37992894262382
FLP,Sensory neuron,GS,FLPL,2,17,19,2,49,51,10,0.000313853493189379,71.3544179637417,0.00223948333324153,3.31068931068931,0.015050810872425,0.201183431952663,0.0176272957489442,0.23767258382643
FLP,Sensory neuron,GS,FLPR,2,12,14,4,40,44,41,0.00128679932207645,14.6483709158632,0.000459744238147736,3.4004329004329,0.0210282175560683,0.241758241758242,0.0247465203271233,0.302106227106227
