,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
0,ADF,Sensory neuron,GS,ADFL,5,20,25,18,54,72,229.0,0.0071872449940367,208.053737732638,0.0065298392358495,2.78333333333333,0.0155521675938936,0.175675675675676,0.0307487206380102,0.380996621621622,ADF,Sensory neuron,GS,7,15,22,20,57,77,100.0,0.0031385349318937,169.187833763816,0.0053100192631917,inf,0.0162015959416704,0.277533039647577,0.0263317775702557,0.495961820851689
1,ADF,Sensory neuron,GS,ADFR,7,11,18,22,59,81,196.5,0.0061672211411713,153.12868977116,0.0048059974192191,2.78333333333333,0.027513658102592,0.205298013245033,0.0430012133024883,0.363520971302428,ADF,Sensory neuron,GS,6,11,17,18,45,63,138.0,0.0043311782060134,92.2264650683493,0.0028945598226209,inf,0.0160456195634073,0.24812030075188,0.0257728443571058,0.43890977443609
2,ADL,Sensory neuron,GS,ADLL,8,19,27,11,64,75,191.5,0.0060102943945766,272.545545310696,0.0085539371448966,2.54090909090909,0.0164583777575951,0.184971098265896,0.0273526193683776,0.352769749518304,ADL,Sensory neuron,GS,10,21,31,18,98,116,1710.5,0.0536846400100433,659.020408177317,0.0206835857189542,inf,0.0113039748397228,0.186274509803922,0.0206336911255254,0.406517792302106
3,ADL,Sensory neuron,GS,ADLR,2,14,16,4,56,60,111.0,0.0034837737744021,36.6539885070842,0.0011503982332271,2.69166666666667,0.0211066658119069,0.15546218487395,0.0273168940269976,0.217787114845938,ADL,Sensory neuron,GS,6,16,22,13,72,85,405.5,0.0127267591488293,175.987439856973,0.0055234272756566,inf,0.0130652882633035,0.177631578947368,0.0200662789772024,0.30109649122807
4,AFD,Sensory neuron,GS,AFDL,7,3,10,21,14,35,37.0,0.0011612579248007,21.0490868121673,0.0006606329424445,2.88333333333333,0.0307742375739342,0.337209302325581,0.0385543674145735,0.414728682170543,AFD,Sensory neuron,GS,6,6,12,19,15,34,74.0,0.0023225158496014,45.4865610295732,0.0014276116072303,inf,0.0143573293736186,0.285714285714286,0.0252898013315838,0.561111111111111
5,AFD,Sensory neuron,GS,AFDR,6,2,8,16,15,31,89.0,0.0027932960893854,11.2823206823646,0.0003540995757442,2.82142857142857,0.0473744429242959,0.5,0.0654336686458586,0.717948717948718,AFD,Sensory neuron,GS,8,2,10,22,12,34,63.0,0.001977277007093,2.75179971988795,8.6366195464439e-05,inf,0.0214249052650846,0.375,0.0277480342356211,0.513257575757576
6,ALM,Sensory neuron,GS,ALML,4,9,13,5,26,31,64.5833333333333,0.002026970476848,125.237149846124,0.0039306116956287,3.1,0.0105584417300488,0.190789473684211,0.0132483329817036,0.239583333333333,ALM,Sensory neuron,GS,4,9,13,6,32,38,204.0,0.0064026112610633,154.549826620213,0.0048506002956566,inf,0.0075636120289671,0.177631578947368,0.0121903072459966,0.323026315789474
7,ALM,Sensory neuron,GS,ALMR,7,9,16,12,26,38,622.083333333333,0.019524302722156,310.074768466092,0.0097318049232971,3.26709956709957,0.0088890910580079,0.123931623931624,0.0126918472544147,0.179202279202279,ALM,Sensory neuron,GS,5,9,14,9,30,39,717.0,0.0225032954616785,284.185189063372,0.0089192514300223,inf,0.0071302957648624,0.160919540229885,0.0084402192737305,0.191091954022989
8,ALN,Sensory neuron,GS,ALNL,3,6,9,5,19,24,0.0,0.0,60.8733182993034,0.0019105303590265,3.53651903651904,0.018788073845607,0.257142857142857,0.0245942599521303,0.335714285714286,ALN,Sensory neuron,GS,2,6,8,4,18,22,23.0,0.0007218630343355,54.3215576709565,0.0017049010630518,inf,0.0096682269451713,0.211538461538462,0.0113228611347314,0.25
9,ALN,Sensory neuron,GS,ALNR,3,9,12,5,23,28,0.0,0.0,73.649453758014,0.0023115138333442,3.40993173493173,0.0078815241386238,0.09375,0.010581362641962,0.129557291666667,ALN,Sensory neuron,GS,3,6,9,4,18,22,2.0,6.27706986378758e-05,60.4112426226538,0.0018960279525031,inf,0.0071551483965547,0.114285714285714,0.0091656321297414,0.152380952380952
