neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ADFL,Sensory neuron,GS,-0.404629280029467,0.624807633117882,2
ADFR,Sensory neuron,GS,-0.858453609302639,0.780246913580247,3
ADLL,Sensory neuron,GS,0.704719080416063,0.42503123698459,2
ADLR,Sensory neuron,GS,0.0996199747185011,0.433256172839506,2
AFDL,Sensory neuron,GS,-0.959303460252233,0.231111111111111,2
AFDR,Sensory neuron,GS,-0.908878534777436,0.277777777777778,2
ALML,Sensory neuron,GS,-0.452606371327061,0.419921875,2
ALMR,Sensory neuron,GS,-0.737978524095988,0.637777777777778,3
ALNL,Sensory neuron,GS,-0.77367903529547,0.364197530864197,2
ALNR,Sensory neuron,GS,-0.77367903529547,0.277777777777778,2
AQR,Sensory neuron,GS,0.260824010595256,0.753834915997078,3
ASEL,Sensory neuron,GS,-0.152504652655483,0.146866589773164,2
ASER,Sensory neuron,GS,0.956843707790048,0,1
ASGL,Sensory neuron,GS,-0.68196637014085,0.1171875,2
ASGR,Sensory neuron,GS,-0.833241146565241,0,1
ASHL,Sensory neuron,GS,-0.152504652655483,0.664537668747278,3
ASHR,Sensory neuron,GS,-0.20292957813028,0.645402892561983,3
ASIL,Sensory neuron,GS,-0.505479130979061,0.0512465373961218,2
ASIR,Sensory neuron,GS,-0.656753907403452,0,1
ASJL,Sensory neuron,GS,-0.833241146565241,0,1
ASJR,Sensory neuron,GS,-1.06015331120183,0.0997229916897507,2
ASKL,Sensory neuron,GS,0.1248324374559,0.175229853975122,2
ASKR,Sensory neuron,GS,0.326532139355087,0.124444444444444,2
AUAL,Sensory neuron,GS,-0.252057980003868,0.771982867220962,3
AUAR,Sensory neuron,GS,-0.0962239119370083,0.570021545090797,2
AVM,Sensory neuron,GS,0.59375818882567,0.085925925925926,2
AWAL,Sensory neuron,GS,-0.177717115392882,0,1
AWAR,Sensory neuron,GS,-0.278566966342475,0.0897782585181179,2
AWBL,Sensory neuron,GS,-0.480266668241663,0.396193771626298,2
AWBR,Sensory neuron,GS,-0.606328981928655,0.320987654320988,2
AWCL,Sensory neuron,GS,0.60386922946647,0.238333333333333,2
AWCR,Sensory neuron,GS,1.96534221728598,0,1
BAGL,Sensory neuron,GS,0.274925462677166,0.574760516451479,2
BAGR,Sensory neuron,GS,0.015120900447244,0.703798392987582,3
DVA,Modulatory neuron,GS,-0.547730422250037,0.831944843435794,4
FLPL,Sensory neuron,GS,-0.638817552078828,0.715318869165023,3
FLPR,Sensory neuron,GS,-0.77367903529547,0.633744855967078,3
IL2DL,Sensory neuron,GS,2.02012748018122,0.108311842888316,2
IL2DR,Sensory neuron,GS,1.00816154848969,0.0753556324490581,2
IL2L,Sensory neuron,GS,0.155979711275763,0.558641975308642,2
IL2R,Sensory neuron,GS,0.688593359534465,0.336704342653183,2
IL2VL,Sensory neuron,GS,0.741854724360335,0.247597078046905,2
IL2VR,Sensory neuron,GS,1.11468427814143,0.224068944290551,2
OLLL,Sensory neuron,GS,1.16568396175118,0.526261962159398,2
OLLR,Sensory neuron,GS,1.81841828431362,0.641965973534972,3
OLQDL,Sensory neuron,GS,0.155979711275763,0.609467455621302,2
OLQDR,Sensory neuron,GS,-0.589679396286421,0.782006920415225,3
OLQVL,Sensory neuron,GS,-0.37663393698294,0.637119113573407,3
OLQVR,Sensory neuron,GS,-0.0570657480277182,0.491735537190083,2
PLNL,Sensory neuron,GS,-1.13330965720651,0.549382716049383,2
PLNR,Sensory neuron,GS,-0.683771379817709,0.36281179138322,2
SAADL,Sensory neuron,GS,0.395120485915423,0.426122448979592,2
SAADR,Sensory neuron,GS,0.574935796870945,0.449074074074074,2
SAAVL,Sensory neuron,GS,1.29419704069303,0.362003780718336,2
SAAVR,Sensory neuron,GS,1.8336429735596,0.2112,2
SDQL,Sensory neuron,GS,-1.22321731268427,0.662721893491124,3
SDQR,Sensory neuron,GS,-0.880664600480451,0.423611111111111,2
URBL,Sensory neuron,GS,-0.747171869297181,0.74375,3
URBR,Sensory neuron,GS,-1.0172339907299,0.774305555555556,3
URXL,Sensory neuron,GS,0.153035202145206,0.746097337006428,3
URXR,Sensory neuron,GS,-0.949867473549609,0.684444444444444,3
URYDL,Sensory neuron,GS,-0.494516988995586,0.65625,3
URYDR,Sensory neuron,GS,-0.513690507147273,0.566792861005949,2
URYVL,Sensory neuron,GS,-0.875637598626774,0.62002743484225,2
URYVR,Sensory neuron,GS,-0.56162430252649,0.701674966047986,3
ADAL,Interneuron,GS,-0.167234218558134,0.620713305898491,2
ADAR,Interneuron,GS,0.0230138832878167,0.520569011918493,2
AIAL,Interneuron,GS,2.09140453097298,0.192841490138787,2
AIAR,Interneuron,GS,2.49480393477135,0.16873985938345,2
AIBL,Interneuron,GS,1.81406744086159,0.74010133233252,3
AIBR,Interneuron,GS,1.713217589912,0.738844444444444,3
AINL,Interneuron,GS,-1.20967203577953,0.627007733491969,3
AINR,Interneuron,GS,-1.28390191070237,0.611570247933884,2
AIYL,Interneuron,GS,0.326532139355087,0.631772268135904,3
AIYR,Interneuron,GS,0.528231841254274,0.512755102040816,2
AIZL,Interneuron,GS,1.7888549781242,0.634527089072544,3
AIZR,Interneuron,GS,0.931631245052649,0.640694748802857,3
AVAL,Interneuron,GS,1.47401235164856,0,1
AVAR,Interneuron,GS,0.934566418781989,0,1
AVBL,Interneuron,GS,2.78161136005411,0,5
AVBR,Interneuron,GS,3.30479364013047,0,5
AVDL,Interneuron,GS,-0.959303460252233,0,1
AVDR,Interneuron,GS,-0.707178832878248,0,1
AVEL,Interneuron,GS,1.36831474859243,0,1
AVER,Interneuron,GS,2.16778727320946,0,1
AVJL,Modulatory neuron,GS,-0.0721101676351589,0.345679012345679,2
AVJR,Modulatory neuron,GS,0.260824010595256,0.485207100591716,2
BDUL,Interneuron,GS,-0.119672193096647,0.54,2
BDUR,Interneuron,GS,0.355948061518231,0.0831758034026465,2
PVCL,Interneuron,GS,1.30718857074799,0.598161168199026,2
PVCR,Interneuron,GS,0.784006290671621,0.667435601691657,3
PVPL,Interneuron,GS,0.0705759087493045,0.483024691358025,2
PVPR,Interneuron,GS,-0.119672193096647,0.330078125,2
PVR,Interneuron,GS,-0.26235826948111,0.489026063100137,2
PVT,Interneuron,GS,0.460500149984253,0.283418553688824,2
RIAL,Interneuron,GS,2.86084868754959,0.0426175240130851,5
RIAR,Interneuron,GS,3.22514553243163,0.0249778582730448,5
RIBL,Interneuron,GS,1.57394827382678,0.723214285714286,3
RIBR,Interneuron,GS,1.27702877413544,0.720486111111111,3
RIFL,Interneuron,GS,0.118137934210792,0.287801314828342,2
RIFR,Interneuron,GS,-0.0245481421736711,0.372576177285319,2
RIGL,Interneuron,GS,0.683189774752758,0.694285714285714,3
RIGR,Interneuron,GS,1.42548852398111,0.533749164624638,2
RIH,Interneuron,GS,2.39295703396231,0.739523260284506,3
RIML,Interneuron,GS,0.754751107826467,0.753665263463492,3
RIMR,Interneuron,GS,1.24924321295415,0.751714677640604,3
RIPL,Interneuron,GS,1.48751383192252,0,1
RIPR,Interneuron,GS,1.27446837261904,0,1
RIR,Interneuron,GS,0.16569995967228,0.762698285531165,3
IL1DL,Motor neuron,GS,-0.53641803146055,0.609418282548476,2
